分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,2021年能源管理相關措施之執行成果，再次讓台北晶華本館2021年節電率上升為1.66%，遠高出能源局對契約用電容量超過八百瓩用戶設定的節電目標1%。總用電量也較2020年減少8.2%，碳排放量減少15%。且獲得台北市政府頒發的「2021臺北市節能領導獎」典範獎，獎勵本公司於提高能源效率與節能成績之優異表現，持續朝每年節電1%目標前進。
E,溫室氣體排放,溫室氣體減量承諾,,,2021,僅有節電承諾
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,6.493
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,7.611
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,0.672
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,25.544
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,33.553
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,1.9329999999999998
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,13.763
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,17.679000000000002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,1.455
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,11.825000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,15.406
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,1.252
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,10.685000000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,13.451
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,1.157
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,15.189
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,17.061
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,1.159
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,16.153
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,18.704
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,1.318
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,18.310000000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,21.446
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,1.651
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,10.953
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,12.546000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,1.373
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,11.098
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,0.173
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.4570000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,2.392
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,0.005
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.068
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,1.9100000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.057999999999999996
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,1.593
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.046
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2022,1.787
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2022,0.053
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2023,1.057
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2023,0.032
E,環境違規,違反環境法規金額-misc,,元,2014,100000
E,環境違規,違反環境法規次數-misc,,次,2014,1
E,環境違規,違反環境法規金額-空氣,,元,2014,0
E,環境違規,違反環境法規次數-空氣,,次,2014,0
E,環境違規,違反環境法規金額-水,,元,2014,0
E,環境違規,違反環境法規次數-水,,次,2014,0
E,環境違規,違反環境法規金額-misc,,元,2017,21000
E,環境違規,違反環境法規次數-misc,,次,2017,1
