分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
E,環境違規,違反環境法規金額-misc,,元,2018,6000
E,環境違規,違反環境法規次數-misc,,次,2018,1
E,環境違規,違反環境法規金額-空氣,,元,2018,0
E,環境違規,違反環境法規次數-空氣,,次,2018,0
E,環境違規,違反環境法規金額-水,,元,2018,0
E,環境違規,違反環境法規次數-水,,次,2018,0
E,環境違規,違反環境法規金額-misc,,元,2019,3000
E,環境違規,違反環境法規次數-misc,,次,2019,1
E,環境違規,違反環境法規金額-空氣,,元,2019,0
E,環境違規,違反環境法規次數-空氣,,次,2019,0
E,環境違規,違反環境法規金額-水,,元,2019,0
E,環境違規,違反環境法規次數-水,,次,2019,0
S,員工薪資,平均薪資,,仟元,2020,1219
S,員工薪資,薪資中位數,,仟元,2020,1007
S,員工薪資,平均薪資,,仟元,2019,1184
S,員工薪資,薪資中位數,,仟元,2019,1002
S,員工薪資,平均薪資,,仟元,2018,1168
G,資本額,資本額,,元,2020,1059779000
G,資本額,資本額,,元,2019,1059779000
G,營運狀況,營業收入,,仟元,2020,17291332
G,營運狀況,營業成本,,仟元,2020,10361137
G,營運狀況,營業費用,,仟元,2020,3222543
G,營運狀況,淨利,,仟元,2020,2835589
G,營運狀況,營業收入,,仟元,2019,15088872
G,營運狀況,營業成本,,仟元,2019,9620962
G,營運狀況,營業費用,,仟元,2019,2717286
G,營運狀況,淨利,,仟元,2019,2144468
G,營運狀況,營業收入,,仟元,2018,13311518
G,營運狀況,營業成本,,仟元,2018,8962649
G,營運狀況,營業費用,,仟元,2018,2366429
G,營運狀況,淨利,,仟元,2018,1708299
G,營運狀況,營業收入,,仟元,2017,10482763
G,營運狀況,營業成本,,仟元,2017,7092248
G,營運狀況,營業費用,,仟元,2017,2170932
G,營運狀況,淨利,,仟元,2017,982732
G,營運狀況,營業收入,,仟元,2016,8862577
G,營運狀況,營業成本,,仟元,2016,6045120
G,營運狀況,營業費用,,仟元,2016,2089697
G,營運狀況,淨利,,仟元,2016,647001
