分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,短期目標：進行ISO 14064-1：2018溫室氣體盤查並完成第三方查證。中長期目標：持續研發綠色設計，有效使用能資源，降低溫室氣體排放。正文集團預計於 2028 年達成溫室氣體範疇一加範疇二排放量較基準年(2021~2023 年之三年平均值)降低5%。
E,溫室氣體排放,溫室氣體減量承諾,,,2021,有減碳目標
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,0.019
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,0.8049999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,1.335
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,0.8420000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,1.262
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,1.5779999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,3.788
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,4.788
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,3.373
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2022,3.393
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2023,0.861
E,環境違規,違反環境法規金額-misc,,元,2013,6000
E,環境違規,違反環境法規次數-misc,,次,2013,1
E,環境違規,違反環境法規金額-空氣,,元,2013,0
E,環境違規,違反環境法規次數-空氣,,次,2013,0
E,環境違規,違反環境法規金額-水,,元,2013,0
E,環境違規,違反環境法規次數-水,,次,2013,0
E,環境違規,違反環境法規金額-misc,,元,2021,60000
E,環境違規,違反環境法規次數-misc,,次,2021,1
E,環境違規,違反環境法規金額-空氣,,元,2021,0
E,環境違規,違反環境法規次數-空氣,,次,2021,0
E,環境違規,違反環境法規金額-水,,元,2021,0
E,環境違規,違反環境法規次數-水,,次,2021,0
S,員工薪資,平均薪資,,仟元,2020,1019
S,員工薪資,薪資中位數,,仟元,2020,876
S,員工薪資,平均薪資,,仟元,2019,957
S,員工薪資,薪資中位數,,仟元,2019,832
S,員工薪資,平均薪資,,仟元,2018,893
G,資本額,資本額,,元,2020,3661188270
G,資本額,資本額,,元,2019,3661188270
G,營運狀況,營業收入,,仟元,2020,19929372
G,營運狀況,營業成本,,仟元,2020,17663796
G,營運狀況,營業費用,,仟元,2020,1797663
G,營運狀況,淨利,,仟元,2020,1407574
G,營運狀況,營業收入,,仟元,2019,18057131
G,營運狀況,營業成本,,仟元,2019,16284640
G,營運狀況,營業費用,,仟元,2019,1720992
G,營運狀況,淨利,,仟元,2019,209973
G,營運狀況,營業收入,,仟元,2018,17333751
G,營運狀況,營業成本,,仟元,2018,15733066
G,營運狀況,營業費用,,仟元,2018,1659464
G,營運狀況,淨利,,仟元,2018,-21846
G,營運狀況,營業收入,,仟元,2017,13580607
G,營運狀況,營業成本,,仟元,2017,11877740
G,營運狀況,營業費用,,仟元,2017,1744552
G,營運狀況,淨利,,仟元,2017,311941
G,營運狀況,營業收入,,仟元,2016,14511254
G,營運狀況,營業成本,,仟元,2016,12225981
G,營運狀況,營業費用,,仟元,2016,1946077
G,營運狀況,淨利,,仟元,2016,567072
