分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,2030年較2019年，單位營收之溫室氣體排放量降低25%。
E,溫室氣體排放,溫室氣體減量承諾,,,2021,有減碳目標
E,環境違規,違反環境法規金額-misc,,元,2013,0
E,環境違規,違反環境法規次數-misc,,次,2013,0
E,環境違規,違反環境法規金額-空氣,,元,2013,0
E,環境違規,違反環境法規次數-空氣,,次,2013,0
E,環境違規,違反環境法規金額-水,,元,2013,60000
E,環境違規,違反環境法規次數-水,,次,2013,1
E,環境違規,違反環境法規金額-misc,,元,2014,0
E,環境違規,違反環境法規次數-misc,,次,2014,0
E,環境違規,違反環境法規金額-空氣,,元,2014,0
E,環境違規,違反環境法規次數-空氣,,次,2014,0
E,環境違規,違反環境法規金額-水,,元,2014,80000
E,環境違規,違反環境法規次數-水,,次,2014,1
E,環境違規,違反環境法規金額-misc,,元,2017,1200
E,環境違規,違反環境法規次數-misc,,次,2017,1
E,環境違規,違反環境法規金額-空氣,,元,2017,0
E,環境違規,違反環境法規次數-空氣,,次,2017,0
E,環境違規,違反環境法規金額-水,,元,2017,0
E,環境違規,違反環境法規次數-水,,次,2017,0
E,環境違規,違反環境法規金額-misc,,元,2021,26000
E,環境違規,違反環境法規次數-misc,,次,2021,3
E,環境違規,違反環境法規金額-空氣,,元,2021,0
E,環境違規,違反環境法規次數-空氣,,次,2021,0
E,環境違規,違反環境法規金額-水,,元,2021,0
E,環境違規,違反環境法規次數-水,,次,2021,0
S,員工薪資,平均薪資,,仟元,2020,1223
S,員工薪資,薪資中位數,,仟元,2020,987
S,員工薪資,平均薪資,,仟元,2019,1221
S,員工薪資,薪資中位數,,仟元,2019,989
S,員工薪資,平均薪資,,仟元,2018,1210
G,資本額,資本額,,元,2020,26691315560
G,資本額,資本額,,元,2019,26691315560
G,營運狀況,營業收入,,仟元,2020,1399332906
G,營運狀況,營業成本,,仟元,2020,1349728657
G,營運狀況,營業費用,,仟元,2020,30541513
G,營運狀況,淨利,,仟元,2020,22419552
G,營運狀況,營業收入,,仟元,2019,1366287326
G,營運狀況,營業成本,,仟元,2019,1321181968
G,營運狀況,營業費用,,仟元,2019,28199092
G,營運狀況,淨利,,仟元,2019,18284108
G,營運狀況,營業收入,,仟元,2018,1340002031
G,營運狀況,營業成本,,仟元,2018,1299233486
G,營運狀況,營業費用,,仟元,2018,28837922
G,營運狀況,淨利,,仟元,2018,11116099
G,營運狀況,營業收入,,仟元,2017,1193808515
G,營運狀況,營業成本,,仟元,2017,1147138626
G,營運狀況,營業費用,,仟元,2017,27671193
G,營運狀況,淨利,,仟元,2017,16014772
G,營運狀況,營業收入,,仟元,2016,1157710113
G,營運狀況,營業成本,,仟元,2016,1094642996
G,營運狀況,營業費用,,仟元,2016,30653148
G,營運狀況,淨利,,仟元,2016,22137392
