分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2020,3750.16
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2020,146785.57
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2020,NA
E,能源使用狀況,總用電量,true,度,2020,288693433.33
E,能源使用狀況,再生能源設置量,true,,2020,NA
E,能源使用狀況,再生能源發電量,true,,2020,NA
E,水資源,總取水量,true,噸,2020,1892341
E,水資源,回收水量,true,噸,2020,875572
E,水資源,耗用水量,true,,2020,無揭露
E,水資源,排放水量,true,噸,2020,1288098
E,廢棄物管理,一般事業廢棄物,true,噸,2020,1279.9
E,廢棄物管理,有害事業廢棄物,true,噸,2020,1637.88
E,廢棄物管理,資源化再利用,true,噸,2020,1739.06
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,8.102
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,7.7810000000000015
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,71.104
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,53.621
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,40.966
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,32.159
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,99.738
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,152.653
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,119.55499999999999
E,空氣污染物申報-有害空氣污染物,甲苯,,,2017,0.034
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,0.22499999999999998
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.012
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,101.44100000000002
E,空氣污染物申報-有害空氣污染物,甲苯,,,2018,0.012
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,0.177
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.014
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,90.09700000000002
E,空氣污染物申報-有害空氣污染物,甲苯,,,2019,0.015000000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,0.004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,22.041
E,空氣污染物申報-有害空氣污染物,甲苯,,,2020,0.005
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,0.048
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.003
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,104.42500000000001
E,空氣污染物申報-有害空氣污染物,甲苯,,,2021,0.013000000000000001
E,環境違規,違反環境法規金額-misc,,元,2012,120000
E,環境違規,違反環境法規次數-misc,,次,2012,2
E,環境違規,違反環境法規金額-空氣,,元,2012,0
E,環境違規,違反環境法規次數-空氣,,次,2012,0
E,環境違規,違反環境法規金額-水,,元,2012,0
E,環境違規,違反環境法規次數-水,,次,2012,0
E,環境違規,違反環境法規金額-misc,,元,2013,0
E,環境違規,違反環境法規次數-misc,,次,2013,0
E,環境違規,違反環境法規金額-空氣,,元,2013,0
E,環境違規,違反環境法規次數-空氣,,次,2013,0
E,環境違規,違反環境法規金額-水,,元,2013,130000
E,環境違規,違反環境法規次數-水,,次,2013,1
E,環境違規,違反環境法規金額-misc,,元,2014,20000
E,環境違規,違反環境法規次數-misc,,次,2014,2
E,環境違規,違反環境法規金額-空氣,,元,2014,0
E,環境違規,違反環境法規次數-空氣,,次,2014,0
E,環境違規,違反環境法規金額-水,,元,2014,0
E,環境違規,違反環境法規次數-水,,次,2014,0
E,環境違規,違反環境法規金額-misc,,元,2015,6000
E,環境違規,違反環境法規次數-misc,,次,2015,1
E,環境違規,違反環境法規金額-空氣,,元,2015,0
E,環境違規,違反環境法規次數-空氣,,次,2015,0
E,環境違規,違反環境法規金額-水,,元,2015,0
E,環境違規,違反環境法規次數-水,,次,2015,0
E,環境違規,違反環境法規金額-misc,,元,2016,60000
E,環境違規,違反環境法規次數-misc,,次,2016,1
E,環境違規,違反環境法規金額-空氣,,元,2016,0
E,環境違規,違反環境法規次數-空氣,,次,2016,0
E,環境違規,違反環境法規金額-水,,元,2016,0
E,環境違規,違反環境法規次數-水,,次,2016,0
E,環境違規,違反環境法規金額-misc,,元,2017,200000
E,環境違規,違反環境法規次數-misc,,次,2017,1
E,環境違規,違反環境法規金額-空氣,,元,2017,0
E,環境違規,違反環境法規次數-空氣,,次,2017,0
E,環境違規,違反環境法規金額-水,,元,2017,0
E,環境違規,違反環境法規次數-水,,次,2017,0
E,環境違規,違反環境法規金額-misc,,元,2018,218000
E,環境違規,違反環境法規次數-misc,,次,2018,5
E,環境違規,違反環境法規金額-空氣,,元,2018,0
E,環境違規,違反環境法規次數-空氣,,次,2018,0
E,環境違規,違反環境法規金額-水,,元,2018,0
E,環境違規,違反環境法規次數-水,,次,2018,0
E,環境違規,違反環境法規金額-misc,,元,2019,220000
E,環境違規,違反環境法規次數-misc,,次,2019,3
E,環境違規,違反環境法規金額-空氣,,元,2019,0
E,環境違規,違反環境法規次數-空氣,,次,2019,0
E,環境違規,違反環境法規金額-水,,元,2019,0
E,環境違規,違反環境法規次數-水,,次,2019,0
E,環境違規,違反環境法規金額-misc,,元,2020,112000
E,環境違規,違反環境法規次數-misc,,次,2020,3
E,環境違規,違反環境法規金額-空氣,,元,2020,0
E,環境違規,違反環境法規次數-空氣,,次,2020,0
E,環境違規,違反環境法規金額-水,,元,2020,0
E,環境違規,違反環境法規次數-水,,次,2020,0
S,員工組成,正式員工,true,人,2020,4464
S,員工組成,性別比,true,人,2020,1.5036455412226584
S,員工組成,新進率,true,人,2020,0.2035218421943786
S,員工組成,離職率,true,人,2020,0.10125296308838469
S,員工組成,是否聘用移工,true,人,2020,1473
S,員工組成,是否聘用身障人士,true,人,2020,無揭露
S,員工組成,是否聘用原住民,true,人,2020,無揭露
S,員工薪資,平均薪資,,仟元,2020,817
S,員工薪資,薪資中位數,,仟元,2020,717
S,員工薪資,平均薪資,,仟元,2019,796
S,員工薪資,薪資中位數,,仟元,2019,688
S,員工薪資,平均薪資,,仟元,2018,728
S,職業健康,職災事故,true,,2020,1
S,職業健康,工安意外,true,,2020,無揭露
G,資本額,資本額,,元,2020,7386755390
G,資本額,資本額,,元,2019,7386755390
G,是否產製CSR報告,是否編撰報告書,true,,,有
G,稅務透明度,營利事業所得稅稅額,true,元,2020,789000000
G,稅務透明度,政府補助、補貼金額,true,元,2020,526390
G,稅務透明度,研發投入費用,true,元,2020,無揭露
G,ISO認證,ISO 9001,true,,2020,有
G,ISO認證,ISO 14001,true,,2020,有
G,ISO認證,ISO 45001,true,,2020,有
G,ISO認證,ISO 50001,true,,2020,NA
