分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體排放及減量資訊,,,2021,持續年節電率>1%、建置510Kw太陽能系統、設置300Kw之儲能系統。
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,4.102
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,3.0020000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,8.472
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,0.724
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,0.53
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,11.193999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,2.3680000000000003
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,1.732
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,13.433
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,8.188
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,2.5729999999999995
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,15.237
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,6.33
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,1.254
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,13.706999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,9.198000000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,2.298
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,24.843000000000007
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,6.593999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,2.9779999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,20.552000000000003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,7.367000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,2.367
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,16.308
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,7.586
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,2.242
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,14.927
E,空氣污染物申報-有害空氣污染物,乙苯,,,2017,0.04699999999999999
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2017,0.15300000000000002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,8.097000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,2.777
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.385
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,20.439000000000004
E,空氣污染物申報-有害空氣污染物,乙苯,,,2018,0.044
E,空氣污染物申報-有害空氣污染物,甲苯,,,2018,0.031000000000000003
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2018,0.26
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,8.11
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,3.9130000000000003
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.6359999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,23.920999999999996
E,空氣污染物申報-有害空氣污染物,乙苯,,,2019,0.037
E,空氣污染物申報-有害空氣污染物,甲苯,,,2019,0.058
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2019,0.49300000000000005
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,4.267
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2020,1.056
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.336
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,11.678
E,空氣污染物申報-有害空氣污染物,乙苯,,,2020,0.032
E,空氣污染物申報-有害空氣污染物,甲苯,,,2020,0.138
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2020,0.21
E,空氣污染物申報-有害空氣污染物,重金屬,,,2020,0.004
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,3.671
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2021,1.117
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,1.262
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,11.049
E,空氣污染物申報-有害空氣污染物,乙苯,,,2021,0.016
E,空氣污染物申報-有害空氣污染物,甲苯,,,2021,0.086
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2021,0.18900000000000006
E,空氣污染物申報-有害空氣污染物,重金屬,,,2021,0.003
E,環境違規,違反環境法規金額-misc,,元,2010,100000
E,環境違規,違反環境法規次數-misc,,次,2010,1
E,環境違規,違反環境法規金額-空氣,,元,2010,0
E,環境違規,違反環境法規次數-空氣,,次,2010,0
E,環境違規,違反環境法規金額-水,,元,2010,0
E,環境違規,違反環境法規次數-水,,次,2010,0
S,員工薪資,平均薪資,,仟元,2020,756
S,員工薪資,薪資中位數,,仟元,2020,648
S,員工薪資,平均薪資,,仟元,2019,699
S,員工薪資,薪資中位數,,仟元,2019,592
S,員工薪資,平均薪資,,仟元,2018,696
G,資本額,資本額,,元,2020,4386228460
G,資本額,資本額,,元,2019,4386228460
G,營運狀況,營業收入,,仟元,2020,5590046
G,營運狀況,營業成本,,仟元,2020,3946488
G,營運狀況,營業費用,,仟元,2020,954411
G,營運狀況,淨利,,仟元,2020,575129
G,營運狀況,營業收入,,仟元,2019,5418004
G,營運狀況,營業成本,,仟元,2019,3779675
G,營運狀況,營業費用,,仟元,2019,898172
G,營運狀況,淨利,,仟元,2019,604635
G,營運狀況,營業收入,,仟元,2018,5364610
G,營運狀況,營業成本,,仟元,2018,3742738
G,營運狀況,營業費用,,仟元,2018,883865
G,營運狀況,淨利,,仟元,2018,653141
G,營運狀況,營業收入,,仟元,2017,5589853
G,營運狀況,營業成本,,仟元,2017,3935755
G,營運狀況,營業費用,,仟元,2017,870523
G,營運狀況,淨利,,仟元,2017,672313
G,營運狀況,營業收入,,仟元,2016,5488496
G,營運狀況,營業成本,,仟元,2016,3893949
G,營運狀況,營業費用,,仟元,2016,912831
G,營運狀況,淨利,,仟元,2016,854758
