分類,子分類,項目,來自公司報告,單位,年份,數值
E,環境違規,違反環境法規金額-misc,,元,2010,233000
E,環境違規,違反環境法規次數-misc,,次,2010,8
E,環境違規,違反環境法規金額-空氣,,元,2010,0
E,環境違規,違反環境法規次數-空氣,,次,2010,0
E,環境違規,違反環境法規金額-水,,元,2010,0
E,環境違規,違反環境法規次數-水,,次,2010,0
E,環境違規,違反環境法規金額-misc,,元,2011,287200
E,環境違規,違反環境法規次數-misc,,次,2011,6
E,環境違規,違反環境法規金額-空氣,,元,2011,0
E,環境違規,違反環境法規次數-空氣,,次,2011,0
E,環境違規,違反環境法規金額-水,,元,2011,0
E,環境違規,違反環境法規次數-水,,次,2011,0
E,環境違規,違反環境法規金額-misc,,元,2012,34000
E,環境違規,違反環境法規次數-misc,,次,2012,7
E,環境違規,違反環境法規金額-空氣,,元,2012,0
E,環境違規,違反環境法規次數-空氣,,次,2012,0
E,環境違規,違反環境法規金額-水,,元,2012,0
E,環境違規,違反環境法規次數-水,,次,2012,0
E,環境違規,違反環境法規金額-misc,,元,2013,339000
E,環境違規,違反環境法規次數-misc,,次,2013,9
E,環境違規,違反環境法規金額-空氣,,元,2013,0
E,環境違規,違反環境法規次數-空氣,,次,2013,0
E,環境違規,違反環境法規金額-水,,元,2013,0
E,環境違規,違反環境法規次數-水,,次,2013,0
E,環境違規,違反環境法規金額-misc,,元,2014,107200
E,環境違規,違反環境法規次數-misc,,次,2014,3
E,環境違規,違反環境法規金額-空氣,,元,2014,0
E,環境違規,違反環境法規次數-空氣,,次,2014,0
E,環境違規,違反環境法規金額-水,,元,2014,0
E,環境違規,違反環境法規次數-水,,次,2014,0
E,環境違規,違反環境法規金額-misc,,元,2015,133300
E,環境違規,違反環境法規次數-misc,,次,2015,20
E,環境違規,違反環境法規金額-空氣,,元,2015,0
E,環境違規,違反環境法規次數-空氣,,次,2015,0
E,環境違規,違反環境法規金額-水,,元,2015,170000
E,環境違規,違反環境法規次數-水,,次,2015,1
E,環境違規,違反環境法規金額-misc,,元,2016,242400
E,環境違規,違反環境法規次數-misc,,次,2016,30
E,環境違規,違反環境法規金額-空氣,,元,2016,0
E,環境違規,違反環境法規次數-空氣,,次,2016,0
E,環境違規,違反環境法規金額-水,,元,2016,0
E,環境違規,違反環境法規次數-水,,次,2016,0
E,環境違規,違反環境法規金額-misc,,元,2017,152400
E,環境違規,違反環境法規次數-misc,,次,2017,17
E,環境違規,違反環境法規金額-空氣,,元,2017,0
E,環境違規,違反環境法規次數-空氣,,次,2017,0
E,環境違規,違反環境法規金額-水,,元,2017,0
E,環境違規,違反環境法規次數-水,,次,2017,0
E,環境違規,違反環境法規金額-misc,,元,2018,67200
E,環境違規,違反環境法規次數-misc,,次,2018,17
E,環境違規,違反環境法規金額-空氣,,元,2018,0
E,環境違規,違反環境法規次數-空氣,,次,2018,0
E,環境違規,違反環境法規金額-水,,元,2018,0
E,環境違規,違反環境法規次數-水,,次,2018,0
E,環境違規,違反環境法規金額-misc,,元,2019,145800
E,環境違規,違反環境法規次數-misc,,次,2019,19
E,環境違規,違反環境法規金額-空氣,,元,2019,0
E,環境違規,違反環境法規次數-空氣,,次,2019,0
E,環境違規,違反環境法規金額-水,,元,2019,0
E,環境違規,違反環境法規次數-水,,次,2019,0
E,環境違規,違反環境法規金額-misc,,元,2020,367800
E,環境違規,違反環境法規次數-misc,,次,2020,22
E,環境違規,違反環境法規金額-空氣,,元,2020,0
E,環境違規,違反環境法規次數-空氣,,次,2020,0
E,環境違規,違反環境法規金額-水,,元,2020,0
E,環境違規,違反環境法規次數-水,,次,2020,0
E,環境違規,違反環境法規金額-misc,,元,2021,6600
E,環境違規,違反環境法規次數-misc,,次,2021,2
E,環境違規,違反環境法規金額-空氣,,元,2021,0
E,環境違規,違反環境法規次數-空氣,,次,2021,0
E,環境違規,違反環境法規金額-水,,元,2021,0
E,環境違規,違反環境法規次數-水,,次,2021,0
S,員工薪資,平均薪資,,仟元,2020,910
S,員工薪資,薪資中位數,,仟元,2020,841
S,員工薪資,平均薪資,,仟元,2019,732
S,員工薪資,薪資中位數,,仟元,2019,650
S,員工薪資,平均薪資,,仟元,2018,750
G,資本額,資本額,,元,2020,1060356600
G,資本額,資本額,,元,2019,1060356600
G,營運狀況,營業收入,,仟元,2020,14130629
G,營運狀況,營業成本,,仟元,2020,13072318
G,營運狀況,營業費用,,仟元,2020,288539
G,營運狀況,淨利,,仟元,2020,626444
G,營運狀況,營業收入,,仟元,2019,11462442
G,營運狀況,營業成本,,仟元,2019,10744281
G,營運狀況,營業費用,,仟元,2019,247780
G,營運狀況,淨利,,仟元,2019,402356
G,營運狀況,營業收入,,仟元,2018,11429192
G,營運狀況,營業成本,,仟元,2018,10700319
G,營運狀況,營業費用,,仟元,2018,226054
G,營運狀況,淨利,,仟元,2018,407513
G,營運狀況,營業收入,,仟元,2017,8369078
G,營運狀況,營業成本,,仟元,2017,7811947
G,營運狀況,營業費用,,仟元,2017,245639
G,營運狀況,淨利,,仟元,2017,295327
G,營運狀況,營業收入,,仟元,2016,8313902
G,營運狀況,營業成本,,仟元,2016,7875529
G,營運狀況,營業費用,,仟元,2016,220326
G,營運狀況,淨利,,仟元,2016,204498
