分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2022,62704.11669999999
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2022,2855.4233
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2022,65559.54
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,189.02799999999996
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,211.34300000000005
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,84.299
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,9.603000000000002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,207.31300000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,208.73
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,144.89600000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,10.646
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,184.372
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,199.46800000000002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,92.04199999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,11.979
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,153.282
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,176.17999999999998
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,78.45500000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,9.999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,130.787
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,192.412
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,71.306
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,8.905
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,201.27499999999998
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,214.70399999999998
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,78.357
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,8.161
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,173.00599999999997
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,189.837
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,95.26799999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,8.933
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,184.752
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,146.59399999999997
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,83.70400000000004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,8.478
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,164.526
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,134.478
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,49.253
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,4.061
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,143.62999999999997
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,108.39200000000002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,26.077
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,1.956
E,空氣污染物申報-有害空氣污染物,重金屬,,,2018,0.003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,140.743
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,113.31200000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,24.684
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,1.9329999999999998
E,空氣污染物申報-有害空氣污染物,戴奧辛,,,2019,0.004
E,空氣污染物申報-有害空氣污染物,重金屬,,,2019,0.014
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,149.84000000000003
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2020,116.245
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,26.657000000000004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,2.2159999999999997
E,空氣污染物申報-有害空氣污染物,戴奧辛,,,2020,0.007
E,空氣污染物申報-有害空氣污染物,重金屬,,,2020,0.017
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,168.18900000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2021,129.966
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,22.421
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,4.083
E,空氣污染物申報-有害空氣污染物,戴奧辛,,,2021,0.005
E,空氣污染物申報-有害空氣污染物,重金屬,,,2021,0.011000000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2022,133.18599999999998
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2022,39.087
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2022,19.442
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2022,3.526
E,空氣污染物申報-有害空氣污染物,重金屬,,,2022,0.004
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2023,76.58299999999998
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2023,20.134000000000004
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2023,11.916999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2023,19.085
E,空氣污染物申報-有害空氣污染物,重金屬,,,2023,0.004
E,環境違規,違反環境法規金額-misc,,元,2010,120000
E,環境違規,違反環境法規次數-misc,,次,2010,1
E,環境違規,違反環境法規金額-空氣,,元,2010,0
E,環境違規,違反環境法規次數-空氣,,次,2010,0
E,環境違規,違反環境法規金額-水,,元,2010,156000
E,環境違規,違反環境法規次數-水,,次,2010,2
E,環境違規,違反環境法規金額-misc,,元,2011,368000
E,環境違規,違反環境法規次數-misc,,次,2011,6
E,環境違規,違反環境法規金額-空氣,,元,2011,0
E,環境違規,違反環境法規次數-空氣,,次,2011,0
E,環境違規,違反環境法規金額-水,,元,2011,80000
E,環境違規,違反環境法規次數-水,,次,2011,3
E,環境違規,違反環境法規金額-misc,,元,2012,119200
E,環境違規,違反環境法規次數-misc,,次,2012,4
E,環境違規,違反環境法規金額-空氣,,元,2012,0
E,環境違規,違反環境法規次數-空氣,,次,2012,0
E,環境違規,違反環境法規金額-水,,元,2012,20000
E,環境違規,違反環境法規次數-水,,次,2012,2
E,環境違規,違反環境法規金額-misc,,元,2013,41200
E,環境違規,違反環境法規次數-misc,,次,2013,8
E,環境違規,違反環境法規金額-空氣,,元,2013,0
E,環境違規,違反環境法規次數-空氣,,次,2013,0
E,環境違規,違反環境法規金額-水,,元,2013,74000
E,環境違規,違反環境法規次數-水,,次,2013,3
E,環境違規,違反環境法規金額-misc,,元,2014,151700
E,環境違規,違反環境法規次數-misc,,次,2014,8
E,環境違規,違反環境法規金額-空氣,,元,2014,0
E,環境違規,違反環境法規次數-空氣,,次,2014,0
E,環境違規,違反環境法規金額-水,,元,2014,62000
E,環境違規,違反環境法規次數-水,,次,2014,4
E,環境違規,違反環境法規金額-misc,,元,2015,319600
E,環境違規,違反環境法規次數-misc,,次,2015,12
E,環境違規,違反環境法規金額-空氣,,元,2015,100000
E,環境違規,違反環境法規次數-空氣,,次,2015,1
E,環境違規,違反環境法規金額-水,,元,2015,548000
E,環境違規,違反環境法規次數-水,,次,2015,6
E,環境違規,違反環境法規金額-misc,,元,2016,212000
E,環境違規,違反環境法規次數-misc,,次,2016,3
E,環境違規,違反環境法規金額-空氣,,元,2016,100000
E,環境違規,違反環境法規次數-空氣,,次,2016,1
E,環境違規,違反環境法規金額-水,,元,2016,398000
E,環境違規,違反環境法規次數-水,,次,2016,3
