分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,68157.41
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,66933.91
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,135091.32
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,62097.52
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,63052.07
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,125149.59
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,46359.909999999996
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,48510.15
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,94870.06
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,6301.239999999998
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,27307.32
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,33608.56
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,274.518
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,124.31099999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,80.35499999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,4.259
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,542.817
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,261.14
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,314.409
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,8.934
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,79.675
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,51.508
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,55.522
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,1.327
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,184.393
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,93.708
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,136.54399999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,3.3709999999999996
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,165.19
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,81.857
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,105.82999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,3.662
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,111.162
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,59.236
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,65.51
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,2.416
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,235.43800000000005
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,111.863
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,135.361
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,12.131
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,142.12699999999998
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,103.844
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,28.177
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,5.623
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,11.89
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,10.418
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,2.2969999999999997
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,0.019
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,5.584
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,0.064
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,1.0350000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,1.388
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.115
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,6.769000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.369
E,環境違規,違反環境法規金額-misc,,元,2010,0
E,環境違規,違反環境法規次數-misc,,次,2010,0
E,環境違規,違反環境法規金額-空氣,,元,2010,200000
E,環境違規,違反環境法規次數-空氣,,次,2010,1
E,環境違規,違反環境法規金額-水,,元,2010,0
E,環境違規,違反環境法規次數-水,,次,2010,0
E,環境違規,違反環境法規金額-misc,,元,2011,12000
E,環境違規,違反環境法規次數-misc,,次,2011,2
E,環境違規,違反環境法規金額-空氣,,元,2011,600000
E,環境違規,違反環境法規次數-空氣,,次,2011,1
E,環境違規,違反環境法規金額-水,,元,2011,0
E,環境違規,違反環境法規次數-水,,次,2011,0
E,環境違規,違反環境法規金額-misc,,元,2015,6000
E,環境違規,違反環境法規次數-misc,,次,2015,1
E,環境違規,違反環境法規金額-空氣,,元,2015,0
E,環境違規,違反環境法規次數-空氣,,次,2015,0
E,環境違規,違反環境法規金額-水,,元,2015,0
E,環境違規,違反環境法規次數-水,,次,2015,0
E,環境違規,違反環境法規金額-misc,,元,2016,118000
E,環境違規,違反環境法規次數-misc,,次,2016,4
E,環境違規,違反環境法規金額-空氣,,元,2016,100000
E,環境違規,違反環境法規次數-空氣,,次,2016,1
E,環境違規,違反環境法規金額-水,,元,2016,0
E,環境違規,違反環境法規次數-水,,次,2016,0
E,環境違規,違反環境法規金額-misc,,元,2017,250000
E,環境違規,違反環境法規次數-misc,,次,2017,2
E,環境違規,違反環境法規金額-空氣,,元,2017,0
E,環境違規,違反環境法規次數-空氣,,次,2017,0
E,環境違規,違反環境法規金額-水,,元,2017,1215000
E,環境違規,違反環境法規次數-水,,次,2017,3
E,環境違規,違反環境法規金額-misc,,元,2018,0
E,環境違規,違反環境法規次數-misc,,次,2018,0
E,環境違規,違反環境法規金額-空氣,,元,2018,0
E,環境違規,違反環境法規次數-空氣,,次,2018,0
E,環境違規,違反環境法規金額-水,,元,2018,108000
E,環境違規,違反環境法規次數-水,,次,2018,1
E,環境違規,違反環境法規金額-misc,,元,2019,0
E,環境違規,違反環境法規次數-misc,,次,2019,0
E,環境違規,違反環境法規金額-空氣,,元,2019,0
E,環境違規,違反環境法規次數-空氣,,次,2019,0
E,環境違規,違反環境法規金額-水,,元,2019,108000
E,環境違規,違反環境法規次數-水,,次,2019,1
E,環境違規,違反環境法規金額-misc,,元,2020,132000
E,環境違規,違反環境法規次數-misc,,次,2020,3
E,環境違規,違反環境法規金額-空氣,,元,2020,0
E,環境違規,違反環境法規次數-空氣,,次,2020,0
E,環境違規,違反環境法規金額-水,,元,2020,0
E,環境違規,違反環境法規次數-水,,次,2020,0
G,資本額,資本額,,元,2020,3953709970
G,資本額,資本額,,元,2019,3953709970
