分類,子分類,項目,來自公司報告,單位,年份,數值
E,環境違規,違反環境法規金額-misc,,元,2018,6000
E,環境違規,違反環境法規次數-misc,,次,2018,1
E,環境違規,違反環境法規金額-空氣,,元,2018,0
E,環境違規,違反環境法規次數-空氣,,次,2018,0
E,環境違規,違反環境法規金額-水,,元,2018,0
E,環境違規,違反環境法規次數-水,,次,2018,0
E,環境違規,違反環境法規金額-misc,,元,2020,10000
E,環境違規,違反環境法規次數-misc,,次,2020,1
E,環境違規,違反環境法規金額-空氣,,元,2020,0
E,環境違規,違反環境法規次數-空氣,,次,2020,0
E,環境違規,違反環境法規金額-水,,元,2020,0
E,環境違規,違反環境法規次數-水,,次,2020,0
G,資本額,資本額,,元,2020,247580000
G,資本額,資本額,,元,2019,247580000
G,營運狀況,營業收入,,仟元,2020,1361994
G,營運狀況,營業成本,,仟元,2020,1239477
G,營運狀況,營業費用,,仟元,2020,81281
G,營運狀況,淨利,,仟元,2020,25801
G,營運狀況,營業收入,,仟元,2019,2083908
G,營運狀況,營業成本,,仟元,2019,1907509
G,營運狀況,營業費用,,仟元,2019,100771
G,營運狀況,淨利,,仟元,2019,53859
G,營運狀況,營業收入,,仟元,2018,2070640
G,營運狀況,營業成本,,仟元,2018,1905827
G,營運狀況,營業費用,,仟元,2018,101528
G,營運狀況,淨利,,仟元,2018,59755
