分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,目標每年均能達成較前一年溫室氣體排放量減少1~2%。
E,溫室氣體排放,溫室氣體減量承諾,,,2021,有減碳目標
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,2.988
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,3.66
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,0.142
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,14.062999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,17.270000000000003
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,1.6029999999999998
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,10.796
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,13.23
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,1.5160000000000002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,6.898
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,8.218
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,0.807
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,2.957
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,3.485
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,0.35
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,5.7989999999999995
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,7.0120000000000005
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,0.72
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,7.782
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,9.535
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,0.944
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,7.090000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,9.237
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,1.021
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,0.235
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,4.973000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,7.23
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,0.7290000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,3.2439999999999998
E,空氣污染物申報-有害空氣污染物,三氯甲烷,,,2017,0.037000000000000005
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2017,0.002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,4.408
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,6.81
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.5840000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,2.558
E,空氣污染物申報-有害空氣污染物,三氯甲烷,,,2018,0.08800000000000001
E,空氣污染物申報-有害空氣污染物,三氯乙烯,,,2018,0.002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,3.8400000000000003
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,5.814
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.396
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,2.106
E,空氣污染物申報-有害空氣污染物,三氯甲烷,,,2019,0.119
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,5.843999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2021,9.144
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.54
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,2.552
E,空氣污染物申報-有害空氣污染物,三氯甲烷,,,2021,0.07999999999999999
E,環境違規,違反環境法規金額-misc,,元,2013,180000
E,環境違規,違反環境法規次數-misc,,次,2013,2
E,環境違規,違反環境法規金額-空氣,,元,2013,0
E,環境違規,違反環境法規次數-空氣,,次,2013,0
E,環境違規,違反環境法規金額-水,,元,2013,0
E,環境違規,違反環境法規次數-水,,次,2013,0
E,環境違規,違反環境法規金額-misc,,元,2017,106000
E,環境違規,違反環境法規次數-misc,,次,2017,2
E,環境違規,違反環境法規金額-空氣,,元,2017,0
E,環境違規,違反環境法規次數-空氣,,次,2017,0
E,環境違規,違反環境法規金額-水,,元,2017,0
E,環境違規,違反環境法規次數-水,,次,2017,0
S,員工薪資,平均薪資,,仟元,2020,523
S,員工薪資,薪資中位數,,仟元,2020,489
S,員工薪資,平均薪資,,仟元,2019,527
S,員工薪資,薪資中位數,,仟元,2019,495
S,員工薪資,平均薪資,,仟元,2018,472
G,資本額,資本額,,元,2020,569829850
G,資本額,資本額,,元,2019,569829850
