分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體排放及減量資訊,,,2021,1.蘇州廠以2020年為基準年，訂定短2025年、中2030年、長2050年目標，目標溫室氣體排放減量較2020年分別減少15%、30%、50%。 2.越南廠以2020年為基準年，訂定短2025年、中2030年、長2050年目標，目標用電度數減量較2020年分別減少10%、20%、30%。
E,環境違規,違反環境法規金額-misc,,元,2014,18000
E,環境違規,違反環境法規次數-misc,,次,2014,3
E,環境違規,違反環境法規金額-空氣,,元,2014,0
E,環境違規,違反環境法規次數-空氣,,次,2014,0
E,環境違規,違反環境法規金額-水,,元,2014,0
E,環境違規,違反環境法規次數-水,,次,2014,0
S,員工薪資,平均薪資,,仟元,2020,1283
S,員工薪資,薪資中位數,,仟元,2020,1128
S,員工薪資,平均薪資,,仟元,2019,1048
S,員工薪資,薪資中位數,,仟元,2019,926
S,員工薪資,平均薪資,,仟元,2018,1080
G,資本額,資本額,,元,2020,7600000000
G,資本額,資本額,,元,2019,7600000000
G,營運狀況,營業收入,,仟元,2020,16747887
G,營運狀況,營業成本,,仟元,2020,15410170
G,營運狀況,營業費用,,仟元,2020,1894689
G,營運狀況,淨利,,仟元,2020,569570
G,營運狀況,營業收入,,仟元,2019,15220325
G,營運狀況,營業成本,,仟元,2019,13116178
G,營運狀況,營業費用,,仟元,2019,2212969
G,營運狀況,淨利,,仟元,2019,16737
G,營運狀況,營業收入,,仟元,2018,15077957
G,營運狀況,營業成本,,仟元,2018,13380665
G,營運狀況,營業費用,,仟元,2018,1763410
G,營運狀況,淨利,,仟元,2018,182152
G,營運狀況,營業收入,,仟元,2017,16861702
G,營運狀況,營業成本,,仟元,2017,15589788
G,營運狀況,營業費用,,仟元,2017,2065750
G,營運狀況,淨利,,仟元,2017,-848296
G,營運狀況,營業收入,,仟元,2016,26017680
G,營運狀況,營業成本,,仟元,2016,23409305
G,營運狀況,營業費用,,仟元,2016,2982489
G,營運狀況,淨利,,仟元,2016,1666845
