分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,信大水泥公司依營運狀況與溫室氣體盤查結果，制訂公司節能減碳及溫室氣體減量策略，並將碳權取得納入公司之減碳策略規畫中，據以推動工作及降低對自然環境衝擊。預計8月將在環保署『國家溫室氣體登錄』平台上，登錄110年度溫室氣體排放量等相關報告，並進行第三者盤查與查證作業。
E,溫室氣體排放,溫室氣體減量承諾,,,2021,無目標
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,2138.554
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,29.883000000000003
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,161.294
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,448.43899999999996
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,4.9990000000000006
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,36.006
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,880.789
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,8.515
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,73.536
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,979.4369999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,9.174
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,129.458
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,1072.895
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,10.766
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,132.835
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,1648.0520000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,27.171
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,227.81600000000003
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,0.012
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,1513.464
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,31.355
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,224.06799999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,0.013999999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,491.38
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,15.894
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,72.098
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,0.006
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,981.842
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,16.348
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,125.366
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,0.007
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,1359.953
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,23.144
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,270.27599999999995
E,空氣污染物申報-有害空氣污染物,戴奧辛,,,2018,0.06
E,空氣污染物申報-有害空氣污染物,重金屬,,,2018,0.148
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,666.13
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,8.098999999999998
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,105.95300000000002
E,空氣污染物申報-有害空氣污染物,戴奧辛,,,2019,0.109
E,空氣污染物申報-有害空氣污染物,重金屬,,,2019,0.11399999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,353.586
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2020,6.678
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,78.207
E,空氣污染物申報-有害空氣污染物,戴奧辛,,,2020,0.036000000000000004
E,空氣污染物申報-有害空氣污染物,重金屬,,,2020,0.07300000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,645.1790000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2021,14.431999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,105.991
E,空氣污染物申報-有害空氣污染物,戴奧辛,,,2021,0.007
E,空氣污染物申報-有害空氣污染物,重金屬,,,2021,0.135
E,環境違規,違反環境法規金額-misc,,元,2013,0
E,環境違規,違反環境法規次數-misc,,次,2013,0
E,環境違規,違反環境法規金額-空氣,,元,2013,200000
E,環境違規,違反環境法規次數-空氣,,次,2013,2
E,環境違規,違反環境法規金額-水,,元,2013,0
E,環境違規,違反環境法規次數-水,,次,2013,0
E,環境違規,違反環境法規金額-misc,,元,2014,0
E,環境違規,違反環境法規次數-misc,,次,2014,0
E,環境違規,違反環境法規金額-空氣,,元,2014,100000
E,環境違規,違反環境法規次數-空氣,,次,2014,1
E,環境違規,違反環境法規金額-水,,元,2014,0
E,環境違規,違反環境法規次數-水,,次,2014,0
E,環境違規,違反環境法規金額-misc,,元,2015,0
E,環境違規,違反環境法規次數-misc,,次,2015,0
E,環境違規,違反環境法規金額-空氣,,元,2015,100000
E,環境違規,違反環境法規次數-空氣,,次,2015,1
E,環境違規,違反環境法規金額-水,,元,2015,0
E,環境違規,違反環境法規次數-水,,次,2015,0
E,環境違規,違反環境法規金額-misc,,元,2016,0
E,環境違規,違反環境法規次數-misc,,次,2016,0
E,環境違規,違反環境法規金額-空氣,,元,2016,100000
E,環境違規,違反環境法規次數-空氣,,次,2016,1
E,環境違規,違反環境法規金額-水,,元,2016,0
E,環境違規,違反環境法規次數-水,,次,2016,0
E,環境違規,違反環境法規金額-misc,,元,2017,200000
E,環境違規,違反環境法規次數-misc,,次,2017,2
E,環境違規,違反環境法規金額-空氣,,元,2017,0
E,環境違規,違反環境法規次數-空氣,,次,2017,0
E,環境違規,違反環境法規金額-水,,元,2017,0
E,環境違規,違反環境法規次數-水,,次,2017,0
E,環境違規,違反環境法規金額-misc,,元,2019,300000
E,環境違規,違反環境法規次數-misc,,次,2019,2
