分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2011,112.93
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2011,0
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2011,112.93
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,125
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,7993.24
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2013,8118.24
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,233.45000000000073
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,9865.66
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,10099.11
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,27176.359999999997
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,15785.720000000001
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,42962.08
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,28454.519999999997
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,15947.44
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,44401.96
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2016,960.6241531357693
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,23983.71
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,6309.84
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,30293.55
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2017,687.6495899555453
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,155.65999999999985
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,9759.02
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,9914.68
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2018,207.37695968662584
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,156.01000000000022
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,9461.35
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,9617.36
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2019,192.12698405088088
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2020,無揭露
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2020,無揭露
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2020,NA
E,能源使用狀況,總用電量,true,度,2020,37500000
E,能源使用狀況,再生能源設置量,true,,2020,NA
E,能源使用狀況,再生能源發電量,true,,2020,NA
E,能源使用狀況,能源密集度,true,度/億元,2020,691089.2063476268
E,水資源,總取水量,true,,2020,無揭露
E,水資源,回收水量,true,噸,2020,6531
E,水資源,耗用水量,true,噸,2020,74644
E,水資源,排放水量,true,,2020,無揭露
E,廢棄物管理,一般事業廢棄物,true,,2020,無揭露
E,廢棄物管理,有害事業廢棄物,true,,2020,無揭露
E,廢棄物管理,資源化再利用,true,,2020,NA
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,494.20300000000003
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,140.285
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,298.56
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,101.20200000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,61.19500000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,206.724
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,49.147999999999996
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,50.373999999999995
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,118.194
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,25.436999999999998
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,26.240000000000002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,107.43800000000002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,23.601
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,24.306
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,23.606
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,35.731
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,35.153999999999996
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,105.35300000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,0.034
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,64.609
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,65.118
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,28.123
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,0.072
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,61.682
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,56.391
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,42.647999999999996
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,0.074
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,34.587999999999994
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,29.712999999999997
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,31.564000000000004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,0.06899999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,26.096
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,24.24
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,41.912
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,0.047
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,40.83
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,41.667
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,23.677
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,0.059
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,16.503
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2020,6.354
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,49.379000000000005
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,0.028999999999999998
E,空氣污染物申報-有害空氣污染物,重金屬,,,2020,0.001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,4.653
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2021,0.318
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,22.175999999999995
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,0.012
E,環境違規,違反環境法規金額-misc,,元,2010,306000
E,環境違規,違反環境法規次數-misc,,次,2010,3
E,環境違規,違反環境法規金額-空氣,,元,2010,0
E,環境違規,違反環境法規次數-空氣,,次,2010,0
E,環境違規,違反環境法規金額-水,,元,2010,0
E,環境違規,違反環境法規次數-水,,次,2010,0
E,環境違規,違反環境法規金額-misc,,元,2011,200000
E,環境違規,違反環境法規次數-misc,,次,2011,2
E,環境違規,違反環境法規金額-空氣,,元,2011,0
E,環境違規,違反環境法規次數-空氣,,次,2011,0
E,環境違規,違反環境法規金額-水,,元,2011,690000
E,環境違規,違反環境法規次數-水,,次,2011,3
E,環境違規,違反環境法規金額-misc,,元,2012,20000
E,環境違規,違反環境法規次數-misc,,次,2012,2
E,環境違規,違反環境法規金額-空氣,,元,2012,0
E,環境違規,違反環境法規次數-空氣,,次,2012,0
E,環境違規,違反環境法規金額-水,,元,2012,110000
E,環境違規,違反環境法規次數-水,,次,2012,1
E,環境違規,違反環境法規金額-misc,,元,2013,23200
E,環境違規,違反環境法規次數-misc,,次,2013,4
E,環境違規,違反環境法規金額-空氣,,元,2013,0
E,環境違規,違反環境法規次數-空氣,,次,2013,0
E,環境違規,違反環境法規金額-水,,元,2013,0
E,環境違規,違反環境法規次數-水,,次,2013,0
E,環境違規,違反環境法規金額-misc,,元,2014,302400
E,環境違規,違反環境法規次數-misc,,次,2014,4
