分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體排放及減量資訊,,,2021,公司依『能源管理法』每年設定節電率1%，自民國104年至110年已達節電1.8%，有效的達成減少碳排放量，公司將依據法規持續推動節能減碳以減少溫室氣體總排放量，目標設定每年減少1%排放量。
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,1.122
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,1.6149999999999998
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,0.162
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,54.732000000000006
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,0.705
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,0.514
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,0.184
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,36.352000000000004
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,2.465
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,1.202
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,0.131
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,83.291
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,1.083
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,0.523
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,0.33399999999999996
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,33.058
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,1.537
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,0.939
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,1.544
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,80.871
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,2.987
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,1.492
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,2.642
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,121.583
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,3.0599999999999996
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,1.625
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,2.515
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,113.405
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,2.059
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,1.3579999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,0.454
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,51.108999999999995
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,2.431
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,1.198
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,0.132
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,58.015
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2017,32.714
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,2.6630000000000003
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,1.278
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.3450000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,51.666999999999994
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2018,28.512999999999998
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,2.2350000000000003
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,0.176
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,1.024
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,67.822
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2019,37.321
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,1.7260000000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2020,0.135
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,1.007
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,70.371
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2020,38.56
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,0.702
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2021,0.055
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.424
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,28.642
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2021,15.849
E,環境違規,違反環境法規金額-misc,,元,2011,0
E,環境違規,違反環境法規次數-misc,,次,2011,0
E,環境違規,違反環境法規金額-空氣,,元,2011,0
E,環境違規,違反環境法規次數-空氣,,次,2011,0
E,環境違規,違反環境法規金額-水,,元,2011,80000
E,環境違規,違反環境法規次數-水,,次,2011,1
E,環境違規,違反環境法規金額-misc,,元,2016,10500
E,環境違規,違反環境法規次數-misc,,次,2016,1
E,環境違規,違反環境法規金額-空氣,,元,2016,0
E,環境違規,違反環境法規次數-空氣,,次,2016,0
E,環境違規,違反環境法規金額-水,,元,2016,0
E,環境違規,違反環境法規次數-水,,次,2016,0
E,環境違規,違反環境法規金額-misc,,元,2021,200000
E,環境違規,違反環境法規次數-misc,,次,2021,1
E,環境違規,違反環境法規金額-空氣,,元,2021,0
E,環境違規,違反環境法規次數-空氣,,次,2021,0
E,環境違規,違反環境法規金額-水,,元,2021,0
E,環境違規,違反環境法規次數-水,,次,2021,0
S,員工薪資,平均薪資,,仟元,2020,869
S,員工薪資,薪資中位數,,仟元,2020,718
S,員工薪資,平均薪資,,仟元,2019,810
S,員工薪資,薪資中位數,,仟元,2019,721
S,員工薪資,平均薪資,,仟元,2018,721
G,資本額,資本額,,元,2020,2989838000
G,資本額,資本額,,元,2019,2989838000
G,營運狀況,營業收入,,仟元,2020,27072342
G,營運狀況,營業成本,,仟元,2020,23285132
G,營運狀況,營業費用,,仟元,2020,2181527
G,營運狀況,淨利,,仟元,2020,4112147
G,營運狀況,營業收入,,仟元,2019,28243214
G,營運狀況,營業成本,,仟元,2019,24423564
G,營運狀況,營業費用,,仟元,2019,2025502
G,營運狀況,淨利,,仟元,2019,2500984
G,營運狀況,營業收入,,仟元,2018,25852942
G,營運狀況,營業成本,,仟元,2018,22463953
G,營運狀況,營業費用,,仟元,2018,1866949
G,營運狀況,淨利,,仟元,2018,1745837
G,營運狀況,營業收入,,仟元,2017,22396174
G,營運狀況,營業成本,,仟元,2017,19715439
G,營運狀況,營業費用,,仟元,2017,1733804
G,營運狀況,淨利,,仟元,2017,798474
G,營運狀況,營業收入,,仟元,2016,22901472
G,營運狀況,營業成本,,仟元,2016,19610564
G,營運狀況,營業費用,,仟元,2016,1947390
G,營運狀況,淨利,,仟元,2016,1915444
