分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,每年度減排溫室氣體量1%為目標.
E,溫室氣體排放,溫室氣體減量承諾,,,2021,有減碳目標
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,13.777
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,27.644000000000002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,10.658999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,9.459000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2022,9.644
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2023,2.473
E,環境違規,違反環境法規金額-misc,,元,2012,106000
E,環境違規,違反環境法規次數-misc,,次,2012,2
E,環境違規,違反環境法規金額-空氣,,元,2012,0
E,環境違規,違反環境法規次數-空氣,,次,2012,0
E,環境違規,違反環境法規金額-水,,元,2012,0
E,環境違規,違反環境法規次數-水,,次,2012,0
E,環境違規,違反環境法規金額-misc,,元,2013,300000
E,環境違規,違反環境法規次數-misc,,次,2013,2
E,環境違規,違反環境法規金額-空氣,,元,2013,0
E,環境違規,違反環境法規次數-空氣,,次,2013,0
E,環境違規,違反環境法規金額-水,,元,2013,0
E,環境違規,違反環境法規次數-水,,次,2013,0
E,環境違規,違反環境法規金額-misc,,元,2014,300000
E,環境違規,違反環境法規次數-misc,,次,2014,3
E,環境違規,違反環境法規金額-空氣,,元,2014,0
E,環境違規,違反環境法規次數-空氣,,次,2014,0
E,環境違規,違反環境法規金額-水,,元,2014,0
E,環境違規,違反環境法規次數-水,,次,2014,0
E,環境違規,違反環境法規金額-misc,,元,2015,260000
E,環境違規,違反環境法規次數-misc,,次,2015,2
E,環境違規,違反環境法規金額-空氣,,元,2015,0
E,環境違規,違反環境法規次數-空氣,,次,2015,0
E,環境違規,違反環境法規金額-水,,元,2015,0
E,環境違規,違反環境法規次數-水,,次,2015,0
E,環境違規,違反環境法規金額-misc,,元,2017,100000
E,環境違規,違反環境法規次數-misc,,次,2017,1
E,環境違規,違反環境法規金額-空氣,,元,2017,0
E,環境違規,違反環境法規次數-空氣,,次,2017,0
E,環境違規,違反環境法規金額-水,,元,2017,60000
E,環境違規,違反環境法規次數-水,,次,2017,1
E,環境違規,違反環境法規金額-misc,,元,2018,10000
E,環境違規,違反環境法規次數-misc,,次,2018,1
E,環境違規,違反環境法規金額-空氣,,元,2018,0
E,環境違規,違反環境法規次數-空氣,,次,2018,0
E,環境違規,違反環境法規金額-水,,元,2018,0
E,環境違規,違反環境法規次數-水,,次,2018,0
E,環境違規,違反環境法規金額-misc,,元,2019,117000
E,環境違規,違反環境法規次數-misc,,次,2019,2
E,環境違規,違反環境法規金額-空氣,,元,2019,0
E,環境違規,違反環境法規次數-空氣,,次,2019,0
E,環境違規,違反環境法規金額-水,,元,2019,0
E,環境違規,違反環境法規次數-水,,次,2019,0
S,員工薪資,平均薪資,,仟元,2020,686
S,員工薪資,薪資中位數,,仟元,2020,661
S,員工薪資,平均薪資,,仟元,2019,670
S,員工薪資,薪資中位數,,仟元,2019,615
S,員工薪資,平均薪資,,仟元,2018,655
G,資本額,資本額,,元,2020,811319380
G,資本額,資本額,,元,2019,811319380
G,營運狀況,營業收入,,仟元,2020,1903290
G,營運狀況,營業成本,,仟元,2020,1327861
G,營運狀況,營業費用,,仟元,2020,272519
G,營運狀況,淨利,,仟元,2020,263881
G,營運狀況,營業收入,,仟元,2019,1834310
G,營運狀況,營業成本,,仟元,2019,1227962
G,營運狀況,營業費用,,仟元,2019,316079
G,營運狀況,淨利,,仟元,2019,202557
G,營運狀況,營業收入,,仟元,2018,1649772
G,營運狀況,營業成本,,仟元,2018,1165046
G,營運狀況,營業費用,,仟元,2018,269529
G,營運狀況,淨利,,仟元,2018,181023
G,營運狀況,營業收入,,仟元,2017,1551091
G,營運狀況,營業成本,,仟元,2017,1070056
G,營運狀況,營業費用,,仟元,2017,263858
G,營運狀況,淨利,,仟元,2017,167141
G,營運狀況,營業收入,,仟元,2016,1520337
G,營運狀況,營業成本,,仟元,2016,995663
G,營運狀況,營業費用,,仟元,2016,275183
G,營運狀況,淨利,,仟元,2016,190118
