分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,8.758
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,17.616
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,17.115000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,15.14
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,10.636000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,12.506
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,13.586000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,14.905000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,17.049
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,16.72
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,15.145
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,8.847
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,8.113999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2022,5.137
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2023,2.7880000000000003
E,環境違規,違反環境法規金額-misc,,元,2019,10000
E,環境違規,違反環境法規次數-misc,,次,2019,1
E,環境違規,違反環境法規金額-空氣,,元,2019,0
E,環境違規,違反環境法規次數-空氣,,次,2019,0
E,環境違規,違反環境法規金額-水,,元,2019,0
E,環境違規,違反環境法規次數-水,,次,2019,0
E,環境違規,違反環境法規金額-misc,,元,2021,9000
E,環境違規,違反環境法規次數-misc,,次,2021,1
E,環境違規,違反環境法規金額-空氣,,元,2021,0
E,環境違規,違反環境法規次數-空氣,,次,2021,0
E,環境違規,違反環境法規金額-水,,元,2021,0
E,環境違規,違反環境法規次數-水,,次,2021,0
S,員工薪資,平均薪資,,仟元,2020,513
S,員工薪資,薪資中位數,,仟元,2020,459
S,員工薪資,平均薪資,,仟元,2019,555
S,員工薪資,薪資中位數,,仟元,2019,473
S,員工薪資,平均薪資,,仟元,2018,522
G,資本額,資本額,,元,2020,1621732210
G,資本額,資本額,,元,2019,1621732210
