分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體排放及減量資訊,,,2021,本公司關於節能減碳未來量化管理目標：預計每年能達成減碳排放3%。
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,1.231
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,1.638
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,0.512
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,1.797
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,5.787000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,8.205
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,11.962
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,18.703000000000003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,11.456
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,19.194000000000003
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,20.529
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,49.102
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,13.389999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,20.1
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,14.733999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,55.92
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,5.544
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,9.040000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,6.188
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,33.78
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,9.064
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,13.059000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,7.469
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,47.163999999999994
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,4.372
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,3.5700000000000003
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,2.044
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,38.981
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,4.441
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,2.972
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,3.06
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,35.563
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,4.536
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,3.142
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,1.9929999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,33.585
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2017,0.194
E,空氣污染物申報-有害空氣污染物,甲苯,,,2017,0.939
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2017,1.633
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,1.109
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,0.577
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.6859999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,14.85
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2018,0.043
E,空氣污染物申報-有害空氣污染物,甲苯,,,2018,0.5349999999999999
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2018,0.905
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,1.946
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,1.211
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,32.848
E,空氣污染物申報-有害空氣污染物,苯乙烯,,,2019,0.328
E,空氣污染物申報-有害空氣污染物,甲苯,,,2019,1.562
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2019,1.921
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,1.1179999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.293
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,8.688
E,空氣污染物申報-有害空氣污染物,苯乙烯,,,2020,0.197
E,空氣污染物申報-有害空氣污染物,甲苯,,,2020,0.402
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2020,0.34
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,0.894
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.913
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,20.956
E,空氣污染物申報-有害空氣污染物,苯乙烯,,,2021,0.5640000000000001
E,空氣污染物申報-有害空氣污染物,甲苯,,,2021,1.067
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2021,0.8200000000000001
E,環境違規,違反環境法規金額-misc,,元,2011,20000
E,環境違規,違反環境法規次數-misc,,次,2011,2
E,環境違規,違反環境法規金額-空氣,,元,2011,0
E,環境違規,違反環境法規次數-空氣,,次,2011,0
E,環境違規,違反環境法規金額-水,,元,2011,140000
E,環境違規,違反環境法規次數-水,,次,2011,1
E,環境違規,違反環境法規金額-misc,,元,2015,10000
E,環境違規,違反環境法規次數-misc,,次,2015,1
E,環境違規,違反環境法規金額-空氣,,元,2015,0
E,環境違規,違反環境法規次數-空氣,,次,2015,0
E,環境違規,違反環境法規金額-水,,元,2015,0
E,環境違規,違反環境法規次數-水,,次,2015,0
E,環境違規,違反環境法規金額-misc,,元,2017,20400
E,環境違規,違反環境法規次數-misc,,次,2017,4
E,環境違規,違反環境法規金額-空氣,,元,2017,0
E,環境違規,違反環境法規次數-空氣,,次,2017,0
E,環境違規,違反環境法規金額-水,,元,2017,0
E,環境違規,違反環境法規次數-水,,次,2017,0
E,環境違規,違反環境法規金額-misc,,元,2019,12000
E,環境違規,違反環境法規次數-misc,,次,2019,2
E,環境違規,違反環境法規金額-空氣,,元,2019,0
E,環境違規,違反環境法規次數-空氣,,次,2019,0
E,環境違規,違反環境法規金額-水,,元,2019,0
E,環境違規,違反環境法規次數-水,,次,2019,0
E,環境違規,違反環境法規金額-misc,,元,2021,6000
E,環境違規,違反環境法規次數-misc,,次,2021,1
E,環境違規,違反環境法規金額-空氣,,元,2021,0
E,環境違規,違反環境法規次數-空氣,,次,2021,0
E,環境違規,違反環境法規金額-水,,元,2021,0
E,環境違規,違反環境法規次數-水,,次,2021,0
S,員工薪資,平均薪資,,仟元,2020,509
S,員工薪資,薪資中位數,,仟元,2020,475
S,員工薪資,平均薪資,,仟元,2019,507
S,員工薪資,薪資中位數,,仟元,2019,471
S,員工薪資,平均薪資,,仟元,2018,507
G,資本額,資本額,,元,2020,1827405360
G,資本額,資本額,,元,2019,1827405360
G,營運狀況,營業收入,,仟元,2020,4784973
G,營運狀況,營業成本,,仟元,2020,4594437
G,營運狀況,營業費用,,仟元,2020,395789
G,營運狀況,淨利,,仟元,2020,414059
G,營運狀況,營業收入,,仟元,2019,5094456
G,營運狀況,營業成本,,仟元,2019,4752666
G,營運狀況,營業費用,,仟元,2019,432995
G,營運狀況,淨利,,仟元,2019,550432
G,營運狀況,營業收入,,仟元,2018,5523819
G,營運狀況,營業成本,,仟元,2018,5115407
G,營運狀況,營業費用,,仟元,2018,490543
G,營運狀況,淨利,,仟元,2018,300563
G,營運狀況,營業收入,,仟元,2017,5376754
G,營運狀況,營業成本,,仟元,2017,4994223
G,營運狀況,營業費用,,仟元,2017,421279
G,營運狀況,淨利,,仟元,2017,-8350
G,營運狀況,營業收入,,仟元,2016,4900284
G,營運狀況,營業成本,,仟元,2016,4426178
G,營運狀況,營業費用,,仟元,2016,416428
G,營運狀況,淨利,,仟元,2016,47055
