分類,子分類,項目,來自公司報告,單位,年份,數值
E,環境違規,違反環境法規金額-misc,,元,2019,6000
E,環境違規,違反環境法規次數-misc,,次,2019,1
E,環境違規,違反環境法規金額-空氣,,元,2019,0
E,環境違規,違反環境法規次數-空氣,,次,2019,0
E,環境違規,違反環境法規金額-水,,元,2019,0
E,環境違規,違反環境法規次數-水,,次,2019,0
G,營運狀況,營業收入,,仟元,2020,2858636
G,營運狀況,營業成本,,仟元,2020,2625858
G,營運狀況,營業費用,,仟元,2020,158075
G,營運狀況,淨利,,仟元,2020,118897
G,營運狀況,營業收入,,仟元,2019,3995046
G,營運狀況,營業成本,,仟元,2019,3587871
G,營運狀況,營業費用,,仟元,2019,191241
G,營運狀況,淨利,,仟元,2019,178351
G,營運狀況,營業收入,,仟元,2018,4256414
G,營運狀況,營業成本,,仟元,2018,3806367
G,營運狀況,營業費用,,仟元,2018,220845
G,營運狀況,淨利,,仟元,2018,199066
G,營運狀況,營業收入,,仟元,2017,4385941
G,營運狀況,營業成本,,仟元,2017,3887823
G,營運狀況,營業費用,,仟元,2017,185828
G,營運狀況,淨利,,仟元,2017,230058
G,營運狀況,營業收入,,仟元,2016,3901256
G,營運狀況,營業成本,,仟元,2016,3431587
G,營運狀況,營業費用,,仟元,2016,199417
G,營運狀況,淨利,,仟元,2016,218277
