分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,0.008
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,0.002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,0.006
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,0.003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,0.012
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,0.004
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,0.006
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,0.015
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,0.125
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,0.048
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,0.067
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,0.05
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,0.048
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,0.078
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.005
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,0.017
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.001
E,環境違規,違反環境法規金額-misc,,元,2011,60000
E,環境違規,違反環境法規次數-misc,,次,2011,1
E,環境違規,違反環境法規金額-空氣,,元,2011,0
E,環境違規,違反環境法規次數-空氣,,次,2011,0
E,環境違規,違反環境法規金額-水,,元,2011,0
E,環境違規,違反環境法規次數-水,,次,2011,0
E,環境違規,違反環境法規金額-misc,,元,2014,372000
E,環境違規,違反環境法規次數-misc,,次,2014,6
E,環境違規,違反環境法規金額-空氣,,元,2014,0
E,環境違規,違反環境法規次數-空氣,,次,2014,0
E,環境違規,違反環境法規金額-水,,元,2014,160000
E,環境違規,違反環境法規次數-水,,次,2014,2
E,環境違規,違反環境法規金額-misc,,元,2015,17000
E,環境違規,違反環境法規次數-misc,,次,2015,3
E,環境違規,違反環境法規金額-空氣,,元,2015,0
E,環境違規,違反環境法規次數-空氣,,次,2015,0
E,環境違規,違反環境法規金額-水,,元,2015,0
E,環境違規,違反環境法規次數-水,,次,2015,0
E,環境違規,違反環境法規金額-misc,,元,2018,6000
E,環境違規,違反環境法規次數-misc,,次,2018,1
E,環境違規,違反環境法規金額-空氣,,元,2018,0
E,環境違規,違反環境法規次數-空氣,,次,2018,0
E,環境違規,違反環境法規金額-水,,元,2018,0
E,環境違規,違反環境法規次數-水,,次,2018,0
E,環境違規,違反環境法規金額-misc,,元,2019,18000
E,環境違規,違反環境法規次數-misc,,次,2019,1
E,環境違規,違反環境法規金額-空氣,,元,2019,0
E,環境違規,違反環境法規次數-空氣,,次,2019,0
E,環境違規,違反環境法規金額-水,,元,2019,0
E,環境違規,違反環境法規次數-水,,次,2019,0
S,員工薪資,平均薪資,,仟元,2020,784
S,員工薪資,薪資中位數,,仟元,2020,721
S,員工薪資,平均薪資,,仟元,2019,714
S,員工薪資,薪資中位數,,仟元,2019,693
S,員工薪資,平均薪資,,仟元,2018,654
G,資本額,資本額,,元,2020,1199226600
G,資本額,資本額,,元,2019,1199226600
