分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,22636.239999999998
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,15237.37
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,37873.61
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,8.979
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,7.455
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,7.542
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,0.94
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,23.787000000000003
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,10.132
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,5.148999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,2.307
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,21.804000000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,28.65
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,12.501000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,1.613
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,37.108
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,48.015
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,9.865
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,1.9859999999999998
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,25.659999999999997
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,37.736
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,8.318999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,1.8400000000000003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,21.913
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,26.503999999999998
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,7.5489999999999995
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,1.726
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,11.714
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,10.629
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,1.937
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,1.1640000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,18.293
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,16.272
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,4.066000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,1.268
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,20.102999999999998
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,22.147000000000002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,3.205
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,1.118
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,33.749
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,45.928
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,4.883
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,5.128000000000001
E,空氣污染物申報-有害空氣污染物,戴奧辛,,,2018,0.001
E,空氣污染物申報-有害空氣污染物,重金屬,,,2018,0.001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,2.42
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,3.311
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.30600000000000005
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,0.007
E,環境違規,違反環境法規金額-misc,,元,2012,0
E,環境違規,違反環境法規次數-misc,,次,2012,0
E,環境違規,違反環境法規金額-空氣,,元,2012,0
E,環境違規,違反環境法規次數-空氣,,次,2012,0
E,環境違規,違反環境法規金額-水,,元,2012,320000
E,環境違規,違反環境法規次數-水,,次,2012,1
E,環境違規,違反環境法規金額-misc,,元,2013,6000
E,環境違規,違反環境法規次數-misc,,次,2013,1
E,環境違規,違反環境法規金額-空氣,,元,2013,0
E,環境違規,違反環境法規次數-空氣,,次,2013,0
E,環境違規,違反環境法規金額-水,,元,2013,0
E,環境違規,違反環境法規次數-水,,次,2013,0
E,環境違規,違反環境法規金額-misc,,元,2015,65000
E,環境違規,違反環境法規次數-misc,,次,2015,2
E,環境違規,違反環境法規金額-空氣,,元,2015,100000
E,環境違規,違反環境法規次數-空氣,,次,2015,1
E,環境違規,違反環境法規金額-水,,元,2015,910000
E,環境違規,違反環境法規次數-水,,次,2015,4
E,環境違規,違反環境法規金額-misc,,元,2016,400000
E,環境違規,違反環境法規次數-misc,,次,2016,3
E,環境違規,違反環境法規金額-空氣,,元,2016,0
E,環境違規,違反環境法規次數-空氣,,次,2016,0
E,環境違規,違反環境法規金額-水,,元,2016,0
E,環境違規,違反環境法規次數-水,,次,2016,0
E,環境違規,違反環境法規金額-misc,,元,2017,130000
E,環境違規,違反環境法規次數-misc,,次,2017,2
E,環境違規,違反環境法規金額-空氣,,元,2017,0
E,環境違規,違反環境法規次數-空氣,,次,2017,0
E,環境違規,違反環境法規金額-水,,元,2017,0
E,環境違規,違反環境法規次數-水,,次,2017,0
E,環境違規,違反環境法規金額-misc,,元,2018,303500
