分類,子分類,項目,來自公司報告,單位,年份,數值
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,36.452
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,47.872
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,8.839
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,9.67
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,32.261
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,38.134
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,8.18
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,7.6370000000000005
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,23.887999999999998
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,48.1
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,10.097
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,10.266
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,25.973
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,43.53600000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,11.944
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,10.49
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,31.922000000000004
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,43.571
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,14.02
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,10.484
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,31.489000000000004
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,57.463
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,12.727
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,10.036999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,25.298000000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,19.39
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,8.731
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,10.375
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,29.953
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,16.664
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,4.6
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,9.786
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,28.015
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,48.919
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,9.339
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,7.775
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,29.645000000000003
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,56.105000000000004
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,7.898999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,7.2620000000000005
E,空氣污染物申報-有害空氣污染物,戴奧辛,,,2018,0.002
E,空氣污染物申報-有害空氣污染物,重金屬,,,2018,0.002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,26.249
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,44.695
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,4.002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,6.541
E,空氣污染物申報-有害空氣污染物,戴奧辛,,,2019,0.004
E,空氣污染物申報-有害空氣污染物,重金屬,,,2019,0.004
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,17.707
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2020,26.162
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,2.335
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,3.965
E,空氣污染物申報-有害空氣污染物,戴奧辛,,,2020,0.003
E,空氣污染物申報-有害空氣污染物,重金屬,,,2020,0.004
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,18.203
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2021,24.159
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,2.311
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,3.747
E,空氣污染物申報-有害空氣污染物,戴奧辛,,,2021,0.004
