分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,修正2021年為基準年(疫情修正)，期望能達成每年較上一年每百萬營業額，減少溫室氣體排放量1%，至2025年時達成減少5~10%，前五年平均不得小於1%。
E,溫室氣體排放,溫室氣體減量承諾,,,2021,有減碳目標
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,0.004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,1.614
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,0.01
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,0.001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,7.277
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,0.028
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,0.002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,10.813
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,0.05
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,0.005
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,13.774000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,0.046
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,0.004
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,0.33
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,36.277
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,16.728
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,0.4580000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,0.034999999999999996
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,0.394
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,93.57000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,0.3909999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,0.013000000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,0.063
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,70.52100000000002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,8.734
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,0.611
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.007
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,84.78399999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,0.30600000000000005
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,0.013999999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.016
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,52.56199999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,0.5740000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2020,0.022
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.019
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,96.667
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,0.183
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2021,0.013000000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,40.773999999999994
E,環境違規,違反環境法規金額-misc,,元,2011,6000
E,環境違規,違反環境法規次數-misc,,次,2011,1
E,環境違規,違反環境法規金額-空氣,,元,2011,0
E,環境違規,違反環境法規次數-空氣,,次,2011,0
E,環境違規,違反環境法規金額-水,,元,2011,0
E,環境違規,違反環境法規次數-水,,次,2011,0
E,環境違規,違反環境法規金額-misc,,元,2017,0
E,環境違規,違反環境法規次數-misc,,次,2017,0
E,環境違規,違反環境法規金額-空氣,,元,2017,0
E,環境違規,違反環境法規次數-空氣,,次,2017,0
E,環境違規,違反環境法規金額-水,,元,2017,72000
E,環境違規,違反環境法規次數-水,,次,2017,1
S,員工薪資,平均薪資,,仟元,2020,633
S,員工薪資,薪資中位數,,仟元,2020,535
S,員工薪資,平均薪資,,仟元,2019,581
S,員工薪資,薪資中位數,,仟元,2019,469
S,員工薪資,平均薪資,,仟元,2018,536
G,資本額,資本額,,元,2020,1924853460
G,資本額,資本額,,元,2019,1924853460
G,營運狀況,營業收入,,仟元,2020,15232783
G,營運狀況,營業成本,,仟元,2020,11577906
G,營運狀況,營業費用,,仟元,2020,957812
G,營運狀況,淨利,,仟元,2020,1672971
G,營運狀況,營業收入,,仟元,2019,11818610
G,營運狀況,營業成本,,仟元,2019,9029644
G,營運狀況,營業費用,,仟元,2019,860940
G,營運狀況,淨利,,仟元,2019,1297956
G,營運狀況,營業收入,,仟元,2018,9644924
G,營運狀況,營業成本,,仟元,2018,7319722
G,營運狀況,營業費用,,仟元,2018,817832
G,營運狀況,淨利,,仟元,2018,1191456
G,營運狀況,營業收入,,仟元,2017,8656049
G,營運狀況,營業成本,,仟元,2017,6435819
G,營運狀況,營業費用,,仟元,2017,910252
G,營運狀況,淨利,,仟元,2017,732605
G,營運狀況,營業收入,,仟元,2016,8105073
G,營運狀況,營業成本,,仟元,2016,5889448
G,營運狀況,營業費用,,仟元,2016,741257
G,營運狀況,淨利,,仟元,2016,1095777
