分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,25649.45
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,1921.18
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,27570.63
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,22396.63
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,1460.34
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,23856.97
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2016,865.8935788340892
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,24221.79
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,1078.57
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,25300.36
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2017,917.6522220106453
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,21797.550000000003
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,1499.44
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,23296.99
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2018,776.1880710133928
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,23112.63
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,860.85
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,23973.48
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2019,824.7903489110184
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,23708.780000000002
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,817.05
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,24525.83
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2020,783.4859841416942
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2021,22897.29
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2021,969.94
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2021,23867.23
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,0.046
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,0.067
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,0.014
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,28.339
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,0.067
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,0.011
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,46.949
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,0.052000000000000005
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,0.007
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,80.986
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,0.053
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,0.010000000000000002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,102.902
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,0.062
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,0.011
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,32.278
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,0.08399999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,0.013000000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,48.077
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,0.083
