分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,1.8599999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,1.0510000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,0.626
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,0.231
E,環境違規,違反環境法規金額-misc,,元,2015,6000
E,環境違規,違反環境法規次數-misc,,次,2015,1
E,環境違規,違反環境法規金額-空氣,,元,2015,0
E,環境違規,違反環境法規次數-空氣,,次,2015,0
E,環境違規,違反環境法規金額-水,,元,2015,0
E,環境違規,違反環境法規次數-水,,次,2015,0
S,員工薪資,平均薪資,,仟元,2020,520
S,員工薪資,薪資中位數,,仟元,2020,446
S,員工薪資,平均薪資,,仟元,2019,498
S,員工薪資,薪資中位數,,仟元,2019,466
S,員工薪資,平均薪資,,仟元,2018,518
G,資本額,資本額,,元,2020,1359679820
G,資本額,資本額,,元,2019,1359679820
G,營運狀況,營業收入,,仟元,2020,609148
G,營運狀況,營業成本,,仟元,2020,500377
G,營運狀況,營業費用,,仟元,2020,38756
G,營運狀況,淨利,,仟元,2020,62077
G,營運狀況,營業收入,,仟元,2019,793729
G,營運狀況,營業成本,,仟元,2019,715898
G,營運狀況,營業費用,,仟元,2019,36401
G,營運狀況,淨利,,仟元,2019,42697
G,營運狀況,營業收入,,仟元,2018,412573
G,營運狀況,營業成本,,仟元,2018,336126
G,營運狀況,營業費用,,仟元,2018,37858
G,營運狀況,淨利,,仟元,2018,46943
G,營運狀況,營業收入,,仟元,2017,766185
G,營運狀況,營業成本,,仟元,2017,692890
G,營運狀況,營業費用,,仟元,2017,27464
G,營運狀況,淨利,,仟元,2017,60632
G,營運狀況,營業收入,,仟元,2016,249997
G,營運狀況,營業成本,,仟元,2016,228517
G,營運狀況,營業費用,,仟元,2016,27628
G,營運狀況,淨利,,仟元,2016,-50625
