分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2018,12803
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2018,無揭露
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2018,無揭露
E,溫室氣體排放,碳密集度,true,公噸CO2e/億元,2018,483.51596890512315
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2018,12803
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2019,12003
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2019,無揭露
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2019,無揭露
E,溫室氣體排放,碳密集度,true,公噸CO2e/億元,2019,518.4744592043147
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2019,12003
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2020,11783
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2020,無揭露
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2020,無揭露
E,溫室氣體排放,碳密集度,true,公噸CO2e/億元,2020,664.5985504385346
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2020,11783
E,能源使用狀況,總用電量,true,度,2018,20054000
E,能源使用狀況,再生能源設置量,true,NA,2018,NA
E,能源使用狀況,再生能源發電量,true,NA,2018,NA
E,能源使用狀況,能源密集度,true,度/億元,2018,757356.0290887557
E,能源使用狀況,總用電量,true,度,2019,19062000
E,能源使用狀況,再生能源設置量,true,NA,2019,NA
E,能源使用狀況,再生能源發電量,true,NA,2019,NA
E,能源使用狀況,能源密集度,true,度/億元,2019,823390.8307383693
E,能源使用狀況,總用電量,true,度,2020,20487000
E,能源使用狀況,再生能源設置量,true,NA,2020,NA
E,能源使用狀況,再生能源發電量,true,NA,2020,NA
E,能源使用狀況,能源密集度,true,度/億元,2020,1155531.7408838377
E,水資源,總取水量,true,噸,2018,366966
E,水資源,回收水量,true,,2018,無揭露
E,水資源,耗用水量,true,,2018,無揭露
E,水資源,排放水量,true,噸,2018,155031
E,水資源,總取水量,true,噸,2019,355756
E,水資源,回收水量,true,,2019,無揭露
E,水資源,耗用水量,true,,2019,無揭露
E,水資源,排放水量,true,噸,2019,174563
E,水資源,總取水量,true,噸,2020,357280
E,水資源,回收水量,true,,2020,無揭露
E,水資源,耗用水量,true,,2020,無揭露
E,水資源,排放水量,true,噸,2020,152531
E,廢棄物管理,一般事業廢棄物,true,噸,2018,186824
E,廢棄物管理,有害事業廢棄物,true,無揭露,2018,無揭露
E,廢棄物管理,資源化再利用,true,噸,2018,5519
E,廢棄物管理,一般事業廢棄物,true,噸,2019,187768
E,廢棄物管理,有害事業廢棄物,true,無揭露,2019,無揭露
E,廢棄物管理,資源化再利用,true,噸,2019,4635
E,廢棄物管理,一般事業廢棄物,true,噸,2020,171250
E,廢棄物管理,有害事業廢棄物,true,無揭露,2020,無揭露
E,廢棄物管理,資源化再利用,true,噸,2020,3379
E,環境違規,違反環境法規金額-misc,,元,2010,1205000
E,環境違規,違反環境法規次數-misc,,次,2010,4
E,環境違規,違反環境法規金額-空氣,,元,2010,0
E,環境違規,違反環境法規次數-空氣,,次,2010,0
E,環境違規,違反環境法規金額-水,,元,2010,0
E,環境違規,違反環境法規次數-水,,次,2010,0
E,環境違規,違反環境法規金額-misc,,元,2011,70000
E,環境違規,違反環境法規次數-misc,,次,2011,2
E,環境違規,違反環境法規金額-空氣,,元,2011,0
E,環境違規,違反環境法規次數-空氣,,次,2011,0
E,環境違規,違反環境法規金額-水,,元,2011,0
E,環境違規,違反環境法規次數-水,,次,2011,0
E,環境違規,違反環境法規金額-misc,,元,2012,100000
E,環境違規,違反環境法規次數-misc,,次,2012,1
E,環境違規,違反環境法規金額-空氣,,元,2012,0
E,環境違規,違反環境法規次數-空氣,,次,2012,0
E,環境違規,違反環境法規金額-水,,元,2012,0
E,環境違規,違反環境法規次數-水,,次,2012,0
E,環境違規,違反環境法規金額-misc,,元,2013,200000
E,環境違規,違反環境法規次數-misc,,次,2013,1
E,環境違規,違反環境法規金額-空氣,,元,2013,0
E,環境違規,違反環境法規次數-空氣,,次,2013,0
E,環境違規,違反環境法規金額-水,,元,2013,350000
E,環境違規,違反環境法規次數-水,,次,2013,1
E,環境違規,違反環境法規金額-misc,,元,2014,392000
E,環境違規,違反環境法規次數-misc,,次,2014,8
E,環境違規,違反環境法規金額-空氣,,元,2014,100000
E,環境違規,違反環境法規次數-空氣,,次,2014,1
E,環境違規,違反環境法規金額-水,,元,2014,0
E,環境違規,違反環境法規次數-水,,次,2014,0
E,環境違規,違反環境法規金額-misc,,元,2015,216200
E,環境違規,違反環境法規次數-misc,,次,2015,3
E,環境違規,違反環境法規金額-空氣,,元,2015,0
E,環境違規,違反環境法規次數-空氣,,次,2015,0
E,環境違規,違反環境法規金額-水,,元,2015,90000
E,環境違規,違反環境法規次數-水,,次,2015,1
E,環境違規,違反環境法規金額-misc,,元,2016,100000
E,環境違規,違反環境法規次數-misc,,次,2016,1
E,環境違規,違反環境法規金額-空氣,,元,2016,0
E,環境違規,違反環境法規次數-空氣,,次,2016,0
E,環境違規,違反環境法規金額-水,,元,2016,0
E,環境違規,違反環境法規次數-水,,次,2016,0
E,環境違規,違反環境法規金額-misc,,元,2017,18500
E,環境違規,違反環境法規次數-misc,,次,2017,2
E,環境違規,違反環境法規金額-空氣,,元,2017,100000
E,環境違規,違反環境法規次數-空氣,,次,2017,1
E,環境違規,違反環境法規金額-水,,元,2017,0
E,環境違規,違反環境法規次數-水,,次,2017,0
E,環境違規,違反環境法規金額-misc,,元,2019,101200
E,環境違規,違反環境法規次數-misc,,次,2019,2
E,環境違規,違反環境法規金額-空氣,,元,2019,0
E,環境違規,違反環境法規次數-空氣,,次,2019,0
E,環境違規,違反環境法規金額-水,,元,2019,0
E,環境違規,違反環境法規次數-水,,次,2019,0
E,環境違規,違反環境法規金額-misc,,元,2020,0
E,環境違規,違反環境法規次數-misc,,次,2020,0
E,環境違規,違反環境法規金額-空氣,,元,2020,0
E,環境違規,違反環境法規次數-空氣,,次,2020,0
E,環境違規,違反環境法規金額-水,,元,2020,116100
E,環境違規,違反環境法規次數-水,,次,2020,1
S,員工組成,正式員工,true,人,2018,212
S,員工組成,性別比,true,人,2018,3.7777777777777777
S,員工組成,新進率,true,人,2018,0.22868217054263565
S,員工組成,離職率,true,人,2018,0.23255813953488372
S,員工組成,是否聘用移工,true,人,2018,46
S,員工組成,是否聘用身障人士,true,人,2018,無揭露
S,員工組成,是否聘用原住民,true,人,2018,無揭露
S,員工組成,正式員工,true,人,2019,213
S,員工組成,性別比,true,人,2019,3.8867924528301887
S,員工組成,新進率,true,人,2019,0.305019305019305
S,員工組成,離職率,true,人,2019,0.20463320463320464
S,員工組成,是否聘用移工,true,人,2019,46
S,員工組成,是否聘用身障人士,true,人,2019,無揭露
S,員工組成,是否聘用原住民,true,人,2019,無揭露
S,員工組成,正式員工,true,人,2020,210
S,員工組成,性別比,true,人,2020,3.6296296296296298
S,員工組成,新進率,true,人,2020,0.172
S,員工組成,離職率,true,人,2020,0.188
S,員工組成,是否聘用移工,true,人,2020,40
S,員工組成,是否聘用身障人士,true,人,2020,無揭露
S,員工組成,是否聘用原住民,true,人,2020,無揭露
S,員工薪資,平均薪資,,仟元,2020,545
S,員工薪資,薪資中位數,,仟元,2020,500
S,員工薪資,平均薪資,,仟元,2019,547
S,員工薪資,薪資中位數,,仟元,2019,502
S,員工薪資,平均薪資,,仟元,2018,545
S,職業健康,職災事故,true,,2018,2
S,職業健康,工安意外,true,,2018,無揭露
S,職業健康,職災事故,true,,2019,4
S,職業健康,工安意外,true,,2019,無接露
S,職業健康,職災事故,true,,2020,8
S,職業健康,工安意外,true,,2020,無接露
G,是否產製CSR報告,是否編撰報告書,true,,2018,有
G,是否產製CSR報告,是否編撰報告書,true,,2019,有
G,是否產製CSR報告,是否編撰報告書,true,,2020,有
G,營運狀況,營業收入,,仟元,2020,1772950
G,營運狀況,營業成本,,仟元,2020,1579260
G,營運狀況,營業費用,,仟元,2020,182436
G,營運狀況,淨利,,仟元,2020,-153895
G,營運狀況,營業收入,,仟元,2019,2315061
G,營運狀況,營業成本,,仟元,2019,2046700
G,營運狀況,營業費用,,仟元,2019,232471
G,營運狀況,淨利,,仟元,2019,31554
G,營運狀況,營業收入,,仟元,2018,2647896
G,營運狀況,營業成本,,仟元,2018,2304810
G,營運狀況,營業費用,,仟元,2018,230969
G,營運狀況,淨利,,仟元,2018,99555
G,營運狀況,營業收入,,仟元,2017,2450268
G,營運狀況,營業成本,,仟元,2017,2141399
G,營運狀況,營業費用,,仟元,2017,201446
G,營運狀況,淨利,,仟元,2017,96101
G,營運狀況,營業收入,,仟元,2016,2099763
G,營運狀況,營業成本,,仟元,2016,1789322
G,營運狀況,營業費用,,仟元,2016,212160
G,營運狀況,淨利,,仟元,2016,98313
G,稅務透明度,營利事業所得稅稅額,true,元,2018,29429000
G,稅務透明度,政府補助、補貼金額,true,元,2018,無揭露
G,稅務透明度,研發投入費用,true,元,2018,40599000
G,稅務透明度,營利事業所得稅稅額,true,元,2019,15900000
G,稅務透明度,政府補助、補貼金額,true,元,2019,無揭露
G,稅務透明度,研發投入費用,true,元,2019,38504000
G,稅務透明度,營利事業所得稅稅額,true,元,2020,2300000
G,稅務透明度,政府補助、補貼金額,true,元,2020,無揭露
G,稅務透明度,研發投入費用,true,元,2020,25497000
G,ISO認證,ISO 9001,true,,2018,有
G,ISO認證,ISO 14001,true,,2018,有
G,ISO認證,ISO 45001,true,,2018,有
G,ISO認證,ISO 50001,true,,2018,NA
G,ISO認證,ISO 9001,true,,2019,有
G,ISO認證,ISO 14001,true,,2019,有
G,ISO認證,ISO 45001,true,,2019,有
G,ISO認證,ISO 50001,true,,2019,NA
G,ISO認證,ISO 9001,true,,2020,有
G,ISO認證,ISO 14001,true,,2020,有
G,ISO認證,ISO 45001,true,,2020,有
G,ISO認證,ISO 50001,true,,2020,NA
