分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體排放及減量資訊,,,2021,目標為主要溫室氣體排放來源之電力使用每年減少1%，致力達成低污染、低能耗之環 境友善政策。 公司目前針對電能之減量來降間接排放之溫室氣體數量。以2019年為基準，到2035年 ，從工廠到最終物流，溫室氣體排放總量減少30%。工廠可以依據自身實際情況調整 資料基準年，但目標年份需保持同步。因此各工廠需著手進 行基礎資料收集並建立 減排目標計畫。
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,2.445
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,3.5239999999999996
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,0.23
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,3.423
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,4.9399999999999995
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,0.309
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,0.81
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,1.168
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,0.041
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,1.7120000000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,2.4699999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,0.039
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,1.185
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,1.71
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,0.06699999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,1.119
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,1.6150000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,0.089
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,1.7109999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,2.47
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,0.218
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,1.056
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,1.52
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,0.17099999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,1.3820000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,1.9949999999999997
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,0.328
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2017,0.163
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,1.5150000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,2.1849999999999996
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.065
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,0.21
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2018,0.11299999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,0.135
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,0.095
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.011
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,0.14200000000000002
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2019,0.076
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,0.581
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.016
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,0.294
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2020,0.157
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,0.5770000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.018000000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,0.12
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2021,0.064
E,環境違規,違反環境法規金額-misc,,元,2012,10000
E,環境違規,違反環境法規次數-misc,,次,2012,1
E,環境違規,違反環境法規金額-空氣,,元,2012,0
E,環境違規,違反環境法規次數-空氣,,次,2012,0
E,環境違規,違反環境法規金額-水,,元,2012,0
E,環境違規,違反環境法規次數-水,,次,2012,0
E,環境違規,違反環境法規金額-misc,,元,2019,82000
E,環境違規,違反環境法規次數-misc,,次,2019,4
E,環境違規,違反環境法規金額-空氣,,元,2019,0
E,環境違規,違反環境法規次數-空氣,,次,2019,0
E,環境違規,違反環境法規金額-水,,元,2019,0
E,環境違規,違反環境法規次數-水,,次,2019,0
E,環境違規,違反環境法規金額-misc,,元,2020,160000
E,環境違規,違反環境法規次數-misc,,次,2020,2
E,環境違規,違反環境法規金額-空氣,,元,2020,0
E,環境違規,違反環境法規次數-空氣,,次,2020,0
E,環境違規,違反環境法規金額-水,,元,2020,0
E,環境違規,違反環境法規次數-水,,次,2020,0
S,員工薪資,平均薪資,,仟元,2020,604
S,員工薪資,薪資中位數,,仟元,2020,524
S,員工薪資,平均薪資,,仟元,2019,606
S,員工薪資,薪資中位數,,仟元,2019,520
S,員工薪資,平均薪資,,仟元,2018,603
G,資本額,資本額,,元,2020,271008510
G,資本額,資本額,,元,2019,271008510
