分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,本公司2021年度已加入SBTi國際倡議並制定節能減碳未來十年量化管理目標： (1)範疇1&2：承諾於2030年範疇1&2每百萬營收排放強度相較基準年2020年減少56.8%。 (2)範疇 3：承諾2030年範疇 3中每百萬營收產品使用階段排放強度較基準年2020年減少 44.2%排放量。
E,溫室氣體排放,溫室氣體減量承諾,,,2021,有減碳目標
E,環境違規,違反環境法規金額-misc,,元,2019,200000
E,環境違規,違反環境法規次數-misc,,次,2019,2
E,環境違規,違反環境法規金額-空氣,,元,2019,0
E,環境違規,違反環境法規次數-空氣,,次,2019,0
E,環境違規,違反環境法規金額-水,,元,2019,0
E,環境違規,違反環境法規次數-水,,次,2019,0
S,員工薪資,平均薪資,,仟元,2020,1750
S,員工薪資,薪資中位數,,仟元,2020,1516
S,員工薪資,平均薪資,,仟元,2019,1741
S,員工薪資,薪資中位數,,仟元,2019,1485
S,員工薪資,平均薪資,,仟元,2018,1488
G,資本額,資本額,,元,2020,7452927490
G,資本額,資本額,,元,2019,7452927490
G,營運狀況,營業收入,,仟元,2020,95082227
G,營運狀況,營業成本,,仟元,2020,77306598
G,營運狀況,營業費用,,仟元,2020,10112929
G,營運狀況,淨利,,仟元,2020,6567771
G,營運狀況,營業收入,,仟元,2019,92552325
G,營運狀況,營業成本,,仟元,2019,76270837
G,營運狀況,營業費用,,仟元,2019,10012023
G,營運狀況,淨利,,仟元,2019,6802752
G,營運狀況,營業收入,,仟元,2018,87260406
G,營運狀況,營業成本,,仟元,2018,74643642
G,營運狀況,營業費用,,仟元,2018,7967228
G,營運狀況,淨利,,仟元,2018,3978909
G,營運狀況,營業收入,,仟元,2017,78155686
G,營運狀況,營業成本,,仟元,2017,64701349
G,營運狀況,營業費用,,仟元,2017,8885007
G,營運狀況,淨利,,仟元,2017,4872216
G,營運狀況,營業收入,,仟元,2016,77018060
G,營運狀況,營業成本,,仟元,2016,63500611
G,營運狀況,營業費用,,仟元,2016,8489372
G,營運狀況,淨利,,仟元,2016,4309071
