分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,26942.81
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,17604.02
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,44546.83
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,25829.850000000002
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,18757.56
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,44587.41
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,28061.97
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,19388.14
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,47450.11
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,23990.589999999997
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,14405.87
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,38396.46
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,未來三年溫室氣體排放量減量目標為2020年總量之10%。
E,溫室氣體排放,溫室氣體減量承諾,,,2021,有減碳目標
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,15.153000000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,17.657999999999998
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,3.0359999999999996
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,1.884
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,18.796
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,26.098
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,3.2390000000000003
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,3.434
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,14.442
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,17.752
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,3.378
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,3.0919999999999996
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,8.859
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,9.168
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,2.145
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,2.556
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,11.285
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,26.36
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,2.25
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,3.285
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,14.774
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,18.74
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,1.518
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,2.184
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,31.697
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,19.423
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,3.1220000000000003
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,4.026
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,31.29
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,30.668
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,4.08
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,2.947
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,44.36800000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,50.141
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,5.186
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,4.417
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,87.422
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,90.76599999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,13.776000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,8.418999999999999
E,空氣污染物申報-有害空氣污染物,戴奧辛,,,2018,0.006
E,空氣污染物申報-有害空氣污染物,重金屬,,,2018,0.006
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,40.697
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,17.147000000000002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,6.84
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,3.4939999999999998
E,空氣污染物申報-有害空氣污染物,戴奧辛,,,2019,0.007
E,空氣污染物申報-有害空氣污染物,重金屬,,,2019,0.007
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,6.11
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2020,2.276
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,1.018
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,0.623
E,空氣污染物申報-有害空氣污染物,戴奧辛,,,2020,0.001
E,空氣污染物申報-有害空氣污染物,重金屬,,,2020,0.001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,13.400000000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2021,4.68
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,1.611
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,2.341
E,空氣污染物申報-有害空氣污染物,重金屬,,,2021,0.002
E,環境違規,違反環境法規金額-misc,,元,2010,0
E,環境違規,違反環境法規次數-misc,,次,2010,0
E,環境違規,違反環境法規金額-空氣,,元,2010,0
E,環境違規,違反環境法規次數-空氣,,次,2010,0
E,環境違規,違反環境法規金額-水,,元,2010,130000
E,環境違規,違反環境法規次數-水,,次,2010,1
E,環境違規,違反環境法規金額-misc,,元,2012,0
E,環境違規,違反環境法規次數-misc,,次,2012,0
E,環境違規,違反環境法規金額-空氣,,元,2012,0
E,環境違規,違反環境法規次數-空氣,,次,2012,0
E,環境違規,違反環境法規金額-水,,元,2012,430000
E,環境違規,違反環境法規次數-水,,次,2012,2
E,環境違規,違反環境法規金額-misc,,元,2013,120000
E,環境違規,違反環境法規次數-misc,,次,2013,1
E,環境違規,違反環境法規金額-空氣,,元,2013,0
E,環境違規,違反環境法規次數-空氣,,次,2013,0
E,環境違規,違反環境法規金額-水,,元,2013,340000
E,環境違規,違反環境法規次數-水,,次,2013,2
E,環境違規,違反環境法規金額-misc,,元,2014,100000
E,環境違規,違反環境法規次數-misc,,次,2014,1
E,環境違規,違反環境法規金額-空氣,,元,2014,0
E,環境違規,違反環境法規次數-空氣,,次,2014,0
E,環境違規,違反環境法規金額-水,,元,2014,200000
E,環境違規,違反環境法規次數-水,,次,2014,1
E,環境違規,違反環境法規金額-misc,,元,2015,0
E,環境違規,違反環境法規次數-misc,,次,2015,0
E,環境違規,違反環境法規金額-空氣,,元,2015,100000
E,環境違規,違反環境法規次數-空氣,,次,2015,1
E,環境違規,違反環境法規金額-水,,元,2015,125000
E,環境違規,違反環境法規次數-水,,次,2015,1
E,環境違規,違反環境法規金額-misc,,元,2017,106000
E,環境違規,違反環境法規次數-misc,,次,2017,2
E,環境違規,違反環境法規金額-空氣,,元,2017,0
E,環境違規,違反環境法規次數-空氣,,次,2017,0
E,環境違規,違反環境法規金額-水,,元,2017,405000
E,環境違規,違反環境法規次數-水,,次,2017,2
E,環境違規,違反環境法規金額-misc,,元,2018,30000
E,環境違規,違反環境法規次數-misc,,次,2018,1
E,環境違規,違反環境法規金額-空氣,,元,2018,0
E,環境違規,違反環境法規次數-空氣,,次,2018,0
E,環境違規,違反環境法規金額-水,,元,2018,0
E,環境違規,違反環境法規次數-水,,次,2018,0
E,環境違規,違反環境法規金額-misc,,元,2019,0
E,環境違規,違反環境法規次數-misc,,次,2019,0
E,環境違規,違反環境法規金額-空氣,,元,2019,0
E,環境違規,違反環境法規次數-空氣,,次,2019,0
E,環境違規,違反環境法規金額-水,,元,2019,135000
E,環境違規,違反環境法規次數-水,,次,2019,1
E,環境違規,違反環境法規金額-misc,,元,2020,0
E,環境違規,違反環境法規次數-misc,,次,2020,0
E,環境違規,違反環境法規金額-空氣,,元,2020,0
E,環境違規,違反環境法規次數-空氣,,次,2020,0
E,環境違規,違反環境法規金額-水,,元,2020,3306000
E,環境違規,違反環境法規次數-水,,次,2020,2
S,員工薪資,平均薪資,,仟元,2020,599
S,員工薪資,薪資中位數,,仟元,2020,516
S,員工薪資,平均薪資,,仟元,2019,583
S,員工薪資,薪資中位數,,仟元,2019,497
S,員工薪資,平均薪資,,仟元,2018,602
G,資本額,資本額,,元,2020,1202862000
G,資本額,資本額,,元,2019,1202862000
