分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,30980.199999999997
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,55132.65
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2013,86112.85
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,21390.12
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,51874.55
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,73264.67
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,19476.359999999997
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,38117.33
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,57593.69
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,29136.590000000004
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,41592.5
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,70729.09
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,32241.450000000004
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,42644.76
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,74886.21
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,35663.65
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,42900.84
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,78564.48999999999
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,29687.079999999998
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,40576.01
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,70263.09
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,25919.639999999996
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,41371.5
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,67291.14
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,0.001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,0.03
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,0.045
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,0.014
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,0.015
E,環境違規,違反環境法規金額-misc,,元,2018,100000
E,環境違規,違反環境法規次數-misc,,次,2018,1
E,環境違規,違反環境法規金額-空氣,,元,2018,0
E,環境違規,違反環境法規次數-空氣,,次,2018,0
E,環境違規,違反環境法規金額-水,,元,2018,0
E,環境違規,違反環境法規次數-水,,次,2018,0
