分類,子分類,項目,來自公司報告,單位,年份,數值
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,0.967
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,1.3170000000000002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,3.8369999999999997
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,1.458
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,1.7440000000000002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,9.634
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,2.069
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,1.8960000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,12.523000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,1.098
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,0.819
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,5.279999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,2.9060000000000006
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,1.774
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,11.722
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,0.009
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,2.072
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,0.644
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,0.554
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,0.064
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,0.578
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,0.098
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,0.018
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,0.896
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,0.299
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,0.006
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,1.271
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,0.32
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,0.008
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,1.405
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,0.508
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.064
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,0.048
E,空氣污染物申報-有害空氣污染物,重金屬,,,2018,0.001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,1.836
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,0.6859999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.20500000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,0.084
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,0.432
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2020,0.162
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.043
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,0.016
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,0.254
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2021,0.139
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.037
E,環境違規,違反環境法規金額-misc,,元,2014,70000
E,環境違規,違反環境法規次數-misc,,次,2014,2
E,環境違規,違反環境法規金額-空氣,,元,2014,0
E,環境違規,違反環境法規次數-空氣,,次,2014,0
E,環境違規,違反環境法規金額-水,,元,2014,0
E,環境違規,違反環境法規次數-水,,次,2014,0
E,環境違規,違反環境法規金額-misc,,元,2015,0
