分類,子分類,項目,來自公司報告,單位,年份,數值
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,0.775
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,4.969
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,2.798
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,2.147
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,3.0060000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,3.7500000000000004
E,空氣污染物申報-有害空氣污染物,甲苯,,,2019,0.004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,0.744
E,空氣污染物申報-有害空氣污染物,甲苯,,,2020,0.009
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,1.089
E,空氣污染物申報-有害空氣污染物,甲苯,,,2021,0.036
E,環境違規,違反環境法規金額-misc,,元,2015,10000
E,環境違規,違反環境法規次數-misc,,次,2015,1
E,環境違規,違反環境法規金額-空氣,,元,2015,0
E,環境違規,違反環境法規次數-空氣,,次,2015,0
E,環境違規,違反環境法規金額-水,,元,2015,0
E,環境違規,違反環境法規次數-水,,次,2015,0
E,環境違規,違反環境法規金額-misc,,元,2017,6000
E,環境違規,違反環境法規次數-misc,,次,2017,1
E,環境違規,違反環境法規金額-空氣,,元,2017,0
E,環境違規,違反環境法規次數-空氣,,次,2017,0
E,環境違規,違反環境法規金額-水,,元,2017,0
E,環境違規,違反環境法規次數-水,,次,2017,0
E,環境違規,違反環境法規金額-misc,,元,2018,100000
E,環境違規,違反環境法規次數-misc,,次,2018,1
E,環境違規,違反環境法規金額-空氣,,元,2018,0
E,環境違規,違反環境法規次數-空氣,,次,2018,0
E,環境違規,違反環境法規金額-水,,元,2018,0
E,環境違規,違反環境法規次數-水,,次,2018,0
S,員工薪資,平均薪資,,仟元,2020,630
S,員工薪資,薪資中位數,,仟元,2020,572
S,員工薪資,平均薪資,,仟元,2019,607
S,員工薪資,薪資中位數,,仟元,2019,558
S,員工薪資,平均薪資,,仟元,2018,601
G,資本額,資本額,,元,2020,361008670
G,資本額,資本額,,元,2019,361008670
G,是否產製CSR報告,是否編撰報告書,true,,,無須編撰
