分類,子分類,項目,來自公司報告,單位,年份,數值
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,1.142
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,0.47
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,1.984
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,2.9979999999999998
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,0.8360000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,0.9690000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,0.287
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,0.378
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,0.196
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,0.228
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,0.392
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,0.623
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,0.913
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,1.155
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,1.276
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.021
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,0.47
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.014
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,0.235
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.008
E,環境違規,違反環境法規金額-misc,,元,2013,50000
E,環境違規,違反環境法規次數-misc,,次,2013,1
E,環境違規,違反環境法規金額-空氣,,元,2013,0
E,環境違規,違反環境法規次數-空氣,,次,2013,0
E,環境違規,違反環境法規金額-水,,元,2013,0
E,環境違規,違反環境法規次數-水,,次,2013,0
E,環境違規,違反環境法規金額-misc,,元,2017,12000
E,環境違規,違反環境法規次數-misc,,次,2017,1
E,環境違規,違反環境法規金額-空氣,,元,2017,0
E,環境違規,違反環境法規次數-空氣,,次,2017,0
E,環境違規,違反環境法規金額-水,,元,2017,128000
E,環境違規,違反環境法規次數-水,,次,2017,1
E,環境違規,違反環境法規金額-misc,,元,2018,0
E,環境違規,違反環境法規次數-misc,,次,2018,0
E,環境違規,違反環境法規金額-空氣,,元,2018,0
E,環境違規,違反環境法規次數-空氣,,次,2018,0
E,環境違規,違反環境法規金額-水,,元,2018,84000
E,環境違規,違反環境法規次數-水,,次,2018,1
S,員工薪資,平均薪資,,仟元,2020,467
S,員工薪資,薪資中位數,,仟元,2020,420
S,員工薪資,平均薪資,,仟元,2019,440
S,員工薪資,薪資中位數,,仟元,2019,379
S,員工薪資,平均薪資,,仟元,2018,424
G,資本額,資本額,,元,2020,725760000
G,資本額,資本額,,元,2019,725760000
