分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2021,3152.051
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2021,5056.146
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2021,NA
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2021,8208.197
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2018,3106.4
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2018,6003.6
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2018,無揭露
E,溫室氣體排放,碳密集度,true,公噸CO2e/億元,2018,247.839295668471
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2018,9110
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2019,2976.1
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2019,5634.4
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2019,無揭露
E,溫室氣體排放,碳密集度,true,公噸CO2e/億元,2019,271.22264857948693
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2019,8610.5
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2020,2944.7
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2020,4749.9
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2020,無揭露
E,溫室氣體排放,碳密集度,true,公噸CO2e/億元,2020,325.5712602314871
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2020,7694.599999999999
E,能源使用狀況,總用電量,true,度（KWh）,2021,9973020
E,能源使用狀況,再生能源設置量,true,瓩（KW）,2021,0
E,能源使用狀況,再生能源發電量,true,度（KWh）,2021,0
E,能源使用狀況,總用電量,true,度,2018,11250000
E,能源使用狀況,再生能源設置量,true,NA,2018,NA
E,能源使用狀況,再生能源發電量,true,NA,2018,NA
E,能源使用狀況,能源密集度,true,度/億元,2018,306058.40573768376
E,能源使用狀況,總用電量,true,度,2019,10331000
E,能源使用狀況,再生能源設置量,true,NA,2019,NA
E,能源使用狀況,再生能源發電量,true,NA,2019,NA
E,能源使用狀況,能源密集度,true,度/億元,2019,325416.77980078734
E,能源使用狀況,總用電量,true,度,2020,9133000
E,能源使用狀況,再生能源設置量,true,NA,2020,NA
E,能源使用狀況,再生能源發電量,true,NA,2020,NA
E,能源使用狀況,能源密集度,true,度/億元,2020,386432.34472151526
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
E,水資源,總取水量,true,,2021,42476
E,水資源,回收水量,true,,2021,216.096
E,水資源,耗用水量,true,,2021,NA
E,水資源,排放水量,true,,2021,11938
E,水資源,總取水量,true,噸,2018,35000
E,水資源,回收水量,true,,2018,無揭露
E,水資源,耗用水量,true,,2018,無揭露
E,水資源,排放水量,true,噸,2018,10084
E,水資源,總取水量,true,噸,2019,30100
E,水資源,回收水量,true,,2019,無揭露
E,水資源,耗用水量,true,,2019,無揭露
E,水資源,排放水量,true,噸,2019,10617
E,水資源,總取水量,true,噸,2020,32429
E,水資源,回收水量,true,,2020,無揭露
E,水資源,耗用水量,true,,2020,無揭露
E,水資源,排放水量,true,噸,2020,13657
E,廢棄物管理,一般事業廢棄物,true,,2021,563.85
E,廢棄物管理,有害事業廢棄物,true,,2021,1.99
E,廢棄物管理,資源化再利用,true,,2021,44.12
E,廢棄物管理,一般事業廢棄物,true,噸,2018,429.44
E,廢棄物管理,有害事業廢棄物,true,無揭露,2018,無揭露
E,廢棄物管理,資源化再利用,true,噸,2018,66.72
E,廢棄物管理,一般事業廢棄物,true,噸,2019,426.9
E,廢棄物管理,有害事業廢棄物,true,無揭露,2019,無揭露
E,廢棄物管理,資源化再利用,true,噸,2019,89.28
E,廢棄物管理,一般事業廢棄物,true,噸,2020,429.06
E,廢棄物管理,有害事業廢棄物,true,無揭露,2020,無揭露
E,廢棄物管理,資源化再利用,true,噸,2020,40.61
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,8.48
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,11.597000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,11.306000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,14.973999999999998
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,12.864999999999998
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,16.441
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,35.748000000000005
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,18.573999999999998
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,7.5329999999999995
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,10.88
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,5.796
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,19.052
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,6.021
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,12.328
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,5.327
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,21.417
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,11.399000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,1.309
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,22.826
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,5.832
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,7.053
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,0.8049999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,21.878
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,2.056
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,0.044000000000000004
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,0.107
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,16.875
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,2.4560000000000004
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,0.14800000000000002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,0.131
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,17.97
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,3.043
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,0.368
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,0.151
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,16.875
E,空氣污染物申報-有害空氣污染物,苯,,,2017,0.003
E,空氣污染物申報-有害空氣污染物,苯乙烯,,,2017,0.507
E,空氣污染物申報-有害空氣污染物,甲苯,,,2017,4.163
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2017,5.801
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,2.96
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,0.324
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.519
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,15.844999999999999
E,空氣污染物申報-有害空氣污染物,苯,,,2018,0.003
E,空氣污染物申報-有害空氣污染物,三氯甲烷,,,2018,0.001
E,空氣污染物申報-有害空氣污染物,苯乙烯,,,2018,0.46799999999999997
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2018,0.001
E,空氣污染物申報-有害空氣污染物,甲苯,,,2018,3.834
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2018,5.405
E,空氣污染物申報-有害空氣污染物,戴奧辛,,,2018,0.001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,2.718
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,0.19199999999999998
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,1.229
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,14.332
E,空氣污染物申報-有害空氣污染物,苯,,,2019,0.001
E,空氣污染物申報-有害空氣污染物,苯乙烯,,,2019,0.41400000000000003
E,空氣污染物申報-有害空氣污染物,甲苯,,,2019,4.135999999999999
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2019,5.912000000000001
E,空氣污染物申報-有害空氣污染物,戴奧辛,,,2019,0.002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,2.8369999999999997
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2020,0.31200000000000006
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,1.9420000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,12.169
E,空氣污染物申報-有害空氣污染物,苯,,,2020,0.003
E,空氣污染物申報-有害空氣污染物,苯乙烯,,,2020,0.386
E,空氣污染物申報-有害空氣污染物,甲苯,,,2020,3.442
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2020,4.926
E,空氣污染物申報-有害空氣污染物,戴奧辛,,,2020,0.005
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,2.84
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2021,0.17800000000000002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,1.141
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,13.669
E,空氣污染物申報-有害空氣污染物,苯,,,2021,0.001
E,空氣污染物申報-有害空氣污染物,三氯甲烷,,,2021,0.002
E,空氣污染物申報-有害空氣污染物,苯乙烯,,,2021,0.549
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2021,0.052000000000000005
E,空氣污染物申報-有害空氣污染物,甲苯,,,2021,3.537
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2021,4.8229999999999995
E,空氣污染物申報-有害空氣污染物,戴奧辛,,,2021,0.003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2022,2.754
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2022,0.16699999999999998
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2022,1.076
