分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,653685.83
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,6643.15
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2013,660328.98
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,666712.16
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,4045.97
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,670758.13
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,700786.0399999999
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,5174.4
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,705960.44
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,807602.97
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,4902.77
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,812505.74
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,803918.4600000001
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,4328.85
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,808247.31
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,805402.26
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,5817
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,811219.26
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,861838.06
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,5187.73
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,867025.79
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2019,13628.812338565467
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,884260.58
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,4652.54
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,888913.12
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2020,18941.4976539227
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,102.08
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,4.748
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,3.042
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,309.55400000000003
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,18.66
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,8.295
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,178.826
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,17.129
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,6.170999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,78.378
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,6.588
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,2.034
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,312.279
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,1.958
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,8.551
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,194.718
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,1.119
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,8.507000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,498.628
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,19.711999999999996
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,13.546000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,353.775
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,2.372
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,17.753
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,445.89300000000003
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,2.435
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,16.37
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,102.496
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,0.169
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,3.24
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,390.838
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2020,0.667
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,18.034
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,256.516
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2021,0.636
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,21.22
E,環境違規,違反環境法規金額-misc,,元,2014,300000
E,環境違規,違反環境法規次數-misc,,次,2014,1
E,環境違規,違反環境法規金額-空氣,,元,2014,0
E,環境違規,違反環境法規次數-空氣,,次,2014,0
E,環境違規,違反環境法規金額-水,,元,2014,0
E,環境違規,違反環境法規次數-水,,次,2014,0
E,環境違規,違反環境法規金額-misc,,元,2018,12000
E,環境違規,違反環境法規次數-misc,,次,2018,1
E,環境違規,違反環境法規金額-空氣,,元,2018,0
E,環境違規,違反環境法規次數-空氣,,次,2018,0
E,環境違規,違反環境法規金額-水,,元,2018,0
E,環境違規,違反環境法規次數-水,,次,2018,0
G,資本額,資本額,,元,2020,3000000000
G,資本額,資本額,,元,2019,3000000000
G,營運狀況,營業收入,,仟元,2020,4692940
G,營運狀況,營業成本,,仟元,2020,4255566
G,營運狀況,營業費用,,仟元,2020,43745
G,營運狀況,淨利,,仟元,2020,298339
G,營運狀況,營業收入,,仟元,2019,6361712
G,營運狀況,營業成本,,仟元,2019,5780335
G,營運狀況,營業費用,,仟元,2019,44472
G,營運狀況,淨利,,仟元,2019,423709
