分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,47934.23000000001
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,184144.4
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2013,232078.63
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,108794.18000000001
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,192557.84
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,301352.02
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,63746.62
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,166762.68
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,230509.3
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,52861.4
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,134254.7
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,187116.1
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2016,3930.8734191202575
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,59102.69
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,174830.15
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,233932.84
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2017,4442.457551430986
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,117870.71
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,168631.39
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,286502.10000000003
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2018,3518.7796445800695
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,54066.560000000005
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,141436.03
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,195502.59
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2019,2458.0414735882855
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,59746.73999999998
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,143713.36000000002
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,203460.1
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2020,2676.9216600169066
E,環境違規,違反環境法規金額-misc,,元,2010,106000
E,環境違規,違反環境法規次數-misc,,次,2010,2
E,環境違規,違反環境法規金額-空氣,,元,2010,0
E,環境違規,違反環境法規次數-空氣,,次,2010,0
E,環境違規,違反環境法規金額-水,,元,2010,0
E,環境違規,違反環境法規次數-水,,次,2010,0
E,環境違規,違反環境法規金額-misc,,元,2011,100000
E,環境違規,違反環境法規次數-misc,,次,2011,1
E,環境違規,違反環境法規金額-空氣,,元,2011,0
E,環境違規,違反環境法規次數-空氣,,次,2011,0
E,環境違規,違反環境法規金額-水,,元,2011,0
E,環境違規,違反環境法規次數-水,,次,2011,0
E,環境違規,違反環境法規金額-misc,,元,2012,66000
E,環境違規,違反環境法規次數-misc,,次,2012,2
E,環境違規,違反環境法規金額-空氣,,元,2012,0
E,環境違規,違反環境法規次數-空氣,,次,2012,0
E,環境違規,違反環境法規金額-水,,元,2012,0
E,環境違規,違反環境法規次數-水,,次,2012,0
E,環境違規,違反環境法規金額-misc,,元,2014,6000
E,環境違規,違反環境法規次數-misc,,次,2014,1
E,環境違規,違反環境法規金額-空氣,,元,2014,0
E,環境違規,違反環境法規次數-空氣,,次,2014,0
E,環境違規,違反環境法規金額-水,,元,2014,0
E,環境違規,違反環境法規次數-水,,次,2014,0
E,環境違規,違反環境法規金額-misc,,元,2015,12400
E,環境違規,違反環境法規次數-misc,,次,2015,2
E,環境違規,違反環境法規金額-空氣,,元,2015,100000
E,環境違規,違反環境法規次數-空氣,,次,2015,1
E,環境違規,違反環境法規金額-水,,元,2015,0
E,環境違規,違反環境法規次數-水,,次,2015,0
E,環境違規,違反環境法規金額-misc,,元,2016,106000
E,環境違規,違反環境法規次數-misc,,次,2016,2
E,環境違規,違反環境法規金額-空氣,,元,2016,0
E,環境違規,違反環境法規次數-空氣,,次,2016,0
E,環境違規,違反環境法規金額-水,,元,2016,0
E,環境違規,違反環境法規次數-水,,次,2016,0
E,環境違規,違反環境法規金額-misc,,元,2017,12000
E,環境違規,違反環境法規次數-misc,,次,2017,2
E,環境違規,違反環境法規金額-空氣,,元,2017,100000
E,環境違規,違反環境法規次數-空氣,,次,2017,1
E,環境違規,違反環境法規金額-水,,元,2017,0
E,環境違規,違反環境法規次數-水,,次,2017,0
E,環境違規,違反環境法規金額-misc,,元,2018,0
E,環境違規,違反環境法規次數-misc,,次,2018,0
E,環境違規,違反環境法規金額-空氣,,元,2018,200000
E,環境違規,違反環境法規次數-空氣,,次,2018,2
E,環境違規,違反環境法規金額-水,,元,2018,0
E,環境違規,違反環境法規次數-水,,次,2018,0
E,環境違規,違反環境法規金額-misc,,元,2019,36000
E,環境違規,違反環境法規次數-misc,,次,2019,5
E,環境違規,違反環境法規金額-空氣,,元,2019,200000
E,環境違規,違反環境法規次數-空氣,,次,2019,2
E,環境違規,違反環境法規金額-水,,元,2019,0
E,環境違規,違反環境法規次數-水,,次,2019,0
E,環境違規,違反環境法規金額-misc,,元,2020,66000
E,環境違規,違反環境法規次數-misc,,次,2020,2
E,環境違規,違反環境法規金額-空氣,,元,2020,100000
E,環境違規,違反環境法規次數-空氣,,次,2020,1
E,環境違規,違反環境法規金額-水,,元,2020,0
E,環境違規,違反環境法規次數-水,,次,2020,0
E,環境違規,違反環境法規金額-misc,,元,2021,6000
E,環境違規,違反環境法規次數-misc,,次,2021,1
E,環境違規,違反環境法規金額-空氣,,元,2021,255000
E,環境違規,違反環境法規次數-空氣,,次,2021,1
E,環境違規,違反環境法規金額-水,,元,2021,0
E,環境違規,違反環境法規次數-水,,次,2021,0
S,員工薪資,平均薪資,,仟元,2020,560
S,員工薪資,薪資中位數,,仟元,2020,546
S,員工薪資,平均薪資,,仟元,2019,497
S,員工薪資,薪資中位數,,仟元,2019,478
S,員工薪資,平均薪資,,仟元,2018,513
G,是否產製CSR報告,是否編撰報告書,true,,,無須編撰
G,營運狀況,營業收入,,仟元,2020,7600525
G,營運狀況,營業成本,,仟元,2020,7243755
G,營運狀況,營業費用,,仟元,2020,177322
G,營運狀況,淨利,,仟元,2020,149541
G,營運狀況,營業收入,,仟元,2019,7953592
G,營運狀況,營業成本,,仟元,2019,8143272
G,營運狀況,營業費用,,仟元,2019,142371
G,營運狀況,淨利,,仟元,2019,-259316
G,營運狀況,營業收入,,仟元,2018,8142087
G,營運狀況,營業成本,,仟元,2018,8318345
G,營運狀況,營業費用,,仟元,2018,149703
G,營運狀況,淨利,,仟元,2018,-203293
G,營運狀況,營業收入,,仟元,2017,5265843
G,營運狀況,營業成本,,仟元,2017,5066537
G,營運狀況,營業費用,,仟元,2017,167874
G,營運狀況,淨利,,仟元,2017,-10439
G,營運狀況,營業收入,,仟元,2016,4760166
G,營運狀況,營業成本,,仟元,2016,4681450
G,營運狀況,營業費用,,仟元,2016,148315
G,營運狀況,淨利,,仟元,2016,203804
